基因	关系	基因
HADHA	相互作用	MAP3K1
ARVCF	相互作用	CDH1
IGFBP2	相互作用	ITGB1
MEN1	相互作用	MYC
HNRNPK	相互作用	TOP1
CCNG1	相互作用	CDKN2A
HCRT	相互作用	HCRTR1
PTK2B	相互作用	FGFR3
CCR5	相互作用	STAT3
RPL15	相互作用	CUL4A
ALB	相互作用	ATM
ESR1	相互作用	TFRC
CDC25C	相互作用	TP53
EGFR	相互作用	HNRNPK
CDKN1A	相互作用	EGR1
CS	相互作用	HDAC1
SERPING1	相互作用	MASP2
F12	相互作用	MMP14
LRP1	相互作用	MMP13
AR	相互作用	GAPDH
CSNK1A1	相互作用	PSEN2
CASP8	相互作用	RPS27A
HSPA5	相互作用	CUL4A
DST	相互作用	MAX
BRAF	相互作用	PRKACA
CCND1	相互作用	PRKACA
RPS27A	相互作用	CUL4A
HNRNPA2B1	相互作用	HSP90AA1
CREBBP	相互作用	FGFR1
NR2F1	相互作用	THRA
EGFR	相互作用	PIK3R2
LCK	相互作用	NR2F2
PTK2B	相互作用	LCK
CREB1	相互作用	CDC37
CEBPB	相互作用	FCER2
AKT2	相互作用	PRKCZ
IGFBP7	相互作用	HNF1A
SMAD4	相互作用	MAPK13
NOS2	相互作用	SMN1
PGR	相互作用	STAT3
JAK2	相互作用	IKBKG
SLC9A1	相互作用	YWHAB
BAD	相互作用	RAF1
HDAC1	相互作用	INSM1
PDGFRB	相互作用	PTK2
PARP1	相互作用	MAPK13
KRAS	相互作用	RBPMS
APOA1	相互作用	HBA1
COL3A1	相互作用	SPARC
MOG	相互作用	PRNP
BCL2	相互作用	PRKCA
BID	相互作用	YWHAB
GRB2	相互作用	MAPK9
MME	相互作用	NDUFA9
GSN	相互作用	STK39
MMP14	相互作用	TIMP2
FN1	相互作用	ITGB1
HDAC1	相互作用	JUN
JAK2	相互作用	RAF1
CREB1	相互作用	CREBBP
F10	相互作用	GAD2
CALM1	相互作用	ACE2
PTK2B	相互作用	JAK1
CDK5	相互作用	CTNNB1
CCNB1	相互作用	PTCH1
ITGA4	相互作用	TGFB1I1
FCER1A	相互作用	SYK
NOTCH3	相互作用	PSEN2
BIRC5	相互作用	CDK4
CD44	相互作用	FYN
IGF1R	相互作用	ITGB1
DNMT1	相互作用	PTK2
GADD45A	相互作用	RXRA
HRH1	相互作用	IL6
ACTB	相互作用	LMNA
ESR1	相互作用	JUNB
DUSP3	相互作用	EGF
APOA1	相互作用	FN1
ATP1A3	相互作用	PCBD1
EP300	相互作用	GAPDH
ASNS	相互作用	CEBPB
CASP8	相互作用	GRIA1
CASP1	相互作用	IL1A
CDK4	相互作用	SMAD2
PLIN2	相互作用	MAPK10
SERPINA1	相互作用	PRTN3
HLA-B	相互作用	HPRT1
ELANE	相互作用	ELN
BMPR2	相互作用	MAPK8
RELA	相互作用	UBB
CDH6	相互作用	CTNNB1
CDH1	相互作用	CFTR
CXCR3	相互作用	CCL11
ZAP70	相互作用	SH2B3
EGR1	相互作用	ACAD9
HLA-B	相互作用	SLC25A1
NDUFS2	相互作用	NDUFS8
CTNNB1	相互作用	MAGI2
MAPK1	相互作用	HDAC4
HLA-B	相互作用	PCNA
PRKDC	相互作用	RELA
BCR	相互作用	CSF2RB
GRIA1	相互作用	GRIA2
FKBP4	相互作用	PHYH
MAPK3	相互作用	SYK
FOS	相互作用	RPS17
F5	相互作用	PROS1
MBP	相互作用	PRKACA
EEF1A1	相互作用	NR4A1
CDKN2A	相互作用	PML
HSPA1B	相互作用	VCAM1
CSF2	相互作用	NFKB1
JAK1	相互作用	MAP3K5
TGFBR1	相互作用	NCF1
CMA1	相互作用	EGR1
JUNB	相互作用	ZNF595
CDK5	相互作用	CDC37
PRTN3	相互作用	TNF
ABL1	相互作用	CASP9
AR	相互作用	CDK6
RPS27A	相互作用	YWHAZ
CALM1	相互作用	HLA-C
ADRB2	相互作用	SRC
EGR1	相互作用	IL1B
NKX3-1	相互作用	TOP1
HMGB1	相互作用	TFE3
SLC25A4	相互作用	AR
VIM	相互作用	XBP1
CD44	相互作用	EGFR
SIN3A	相互作用	ZBTB7A
MS4A2	相互作用	HDAC1
EP300	相互作用	RB1
CTBP1	相互作用	RB1
CTNNA1	相互作用	VCP
MAPK3	相互作用	SP1
SP1	相互作用	SREBF2
BID	相互作用	CASP3
BAK1	相互作用	BCL2A1
CALM1	相互作用	ESR1
CASP7	相互作用	EGFR
SMAD3	相互作用	AXIN1
ADRB2	相互作用	PRKCD
CHGA	相互作用	PLG
LEPR	相互作用	PTPN11
PRKCD	相互作用	SRC
RELA	相互作用	TERT
PECAM1	相互作用	PTPN6
RB1	相互作用	SMARCA4
PRKDC	相互作用	VCAM1
UBE2I	相互作用	TRIM63
A2M	相互作用	PAEP
BSG	相互作用	CAV1
MAPT	相互作用	PRKACA
CDH11	相互作用	CTNNB1
PARP1	相互作用	RXRA
IRF4	相互作用	TOP1
GRK2	相互作用	RPS27A
MEN1	相互作用	RELA
HSP90AB1	相互作用	AURKB
NFKB2	相互作用	TUBB4A
RELA	相互作用	PYCR2
IGF2	相互作用	IGFBP2
PPP2R2A	相互作用	RPS6KB1
COL3A1	相互作用	DDR2
BCL6	相互作用	IFNGR1
AKT1	相互作用	XIAP
CASP3	相互作用	IL18
A2M	相互作用	SHBG
SMAD3	相互作用	PML
A2M	相互作用	CTSB
CD36	相互作用	FYN
EGFR	相互作用	JAK1
CD14	相互作用	ITGB2
GRB2	相互作用	ACTR3
CALM1	相互作用	TCF4
CASP1	相互作用	CASP8
CALR	相互作用	CD40
NR3C1	相互作用	UBB
CDK5	相互作用	WASF1
HDAC1	相互作用	NR2F2
ARRB1	相互作用	PIK3R2
DPP4	相互作用	NPY
CDKN2A	相互作用	HIF1A
PRKCB	相互作用	NCF1
BCL2	相互作用	CYCS
CDC25A	相互作用	SMAD3
EP300	相互作用	NFKBIA
SMAD3	相互作用	TGFB1I1
PARP1	相互作用	E2F1
ESR1	相互作用	MAPK3
CACNA1A	相互作用	LAMB1
CALM1	相互作用	PTH1R
PPARGC1A	相互作用	NCOA6
HSF1	相互作用	UBE2I
CDK2	相互作用	MDH2
CHRM3	相互作用	CSNK1A1
ITGB3	相互作用	TGM2
IRAK4	相互作用	TIRAP
ABAT	相互作用	ALDH5A1
MCL1	相互作用	PMAIP1
DAXX	相互作用	NCOR1
MAP3K1	相互作用	RPS27A
APP	相互作用	PLK2
APP	相互作用	DLG4
APP	相互作用	PDE4D
ACTA2	相互作用	SHBG
CDK2	相互作用	CYB5R3
GJA1	相互作用	PRKCG
RELA	相互作用	TUBB2B
MKI67	相互作用	SMN2
CAPN2	相互作用	F2RL1
PLK1	相互作用	PSMB4
CCNE1	相互作用	CUL4A
AKT1	相互作用	CALM1
KLF5	相互作用	PRKCD
CDKN1A	相互作用	TRAF1
CFTR	相互作用	SIGMAR1
BCL2	相互作用	MAPK3
SRC	相互作用	CDC37
SMAD2	相互作用	SMAD7
EPHB2	相互作用	MMP2
RELA	相互作用	KAT5
FASLG	相互作用	NCF1
CDK2	相互作用	GPI
HNRNPK	相互作用	MAPK13
HSP90AB1	相互作用	NR2C2
RPS6	相互作用	VCAM1
BCL2L1	相互作用	MCL1
EEF1A1	相互作用	NEDD8
BCL2	相互作用	KEAP1
ACTG1	相互作用	CDKN2A
IKBKB	相互作用	PRKDC
SLC2A1	相互作用	VCAM1
C1QA	相互作用	FN1
MMP9	相互作用	PPBP
MCL1	相互作用	BMF
AR	相互作用	CEBPB
CDK2	相互作用	IDH1
ITGA4	相互作用	SEC24C
ALK	相互作用	STAT3
CALM1	相互作用	CCNE1
HSPA5	相互作用	IKBKB
ATP1A3	相互作用	EEF1A1
AR	相互作用	NR2C2
APP	相互作用	CDK7
CSF1R	相互作用	GRB2
EEF1A1	相互作用	KRAS
NFKB1	相互作用	IKBKG
CCR3	相互作用	CCL5
HDAC1	相互作用	IRF5
EGFR	相互作用	PTK2B
DSP	相互作用	ESR1
HSPA1B	相互作用	IKBKB
EEF1A1	相互作用	TNFSF11
NFKB2	相互作用	VCP
ERBB4	相互作用	PTPN11
TNNC1	相互作用	TNNI3
SERPINA3	相互作用	LRP1
FOS	相互作用	NCOA6
CREBBP	相互作用	MDM2
ERBB3	相互作用	PTK2B
HLA-B	相互作用	DIABLO
MET	相互作用	SRC
SREBF1	相互作用	ZBTB7A
CSF2RB	相互作用	PTPN11
ALB	相互作用	TF
AFG3L2	相互作用	MAPK8IP2
FOSL2	相互作用	JUN
GTF2I	相互作用	HDAC1
EP300	相互作用	IRF5
NCF4	相互作用	PRKDC
MAP3K1	相互作用	KAT5
COL2A1	相互作用	TGFB1
MIF	相互作用	VHL
PRKCA	相互作用	PRKCE
HSPG2	相互作用	ITGB1
ENO2	相互作用	HSF1
DLG4	相互作用	KCNA3
GLUL	相互作用	HLA-B
ADRB1	相互作用	NOS1
NR3C1	相互作用	PRKACA
ACLY	相互作用	TFE3
CDKN2A	相互作用	TPI1
EEF1A1	相互作用	RPL10
VDAC1	相互作用	TUBA1A
CDK2	相互作用	VIM
SERPINF2	相互作用	PRSS1
CLU	相互作用	NR3C1
IL1B	相互作用	PRTN3
CREBBP	相互作用	IFNB1
RELA	相互作用	KEAP1
CAV1	相互作用	SRC
CDC25A	相互作用	FTH1
DLG4	相互作用	KCNJ10
ITGB2	相互作用	PRKCE
RAF1	相互作用	VCP
INSR	相互作用	PTPN6
RELA	相互作用	SIN3A
F10	相互作用	PROS1
ITGB2	相互作用	PTK2
MEFV	相互作用	NLRP3
CASP7	相互作用	SP1
UROD	相互作用	VIM
CYP1B1	相互作用	SAE1
IFNGR1	相互作用	STAT4
PRKAR2B	相互作用	RYR2
SPARC	相互作用	TGM2
CYBA	相互作用	RBPMS
DNMT1	相互作用	TP53
PCNA	相互作用	PMS2
F7	相互作用	GGCX
HNRNPK	相互作用	MDM2
MYC	相互作用	TUBA4A
AR	相互作用	HNF4A
CREBBP	相互作用	IKBKB
AKT1	相互作用	AR
IL1B	相互作用	SP1
MARK3	相互作用	MITF
HSP90AA1	相互作用	JAK1
RPL11	相互作用	IKBKG
EGR1	相互作用	IFNGR1
ACTB	相互作用	HNRNPA2B1
RBP4	相互作用	TTR
CEBPB	相互作用	HDAC4
DSP	相互作用	VIM
HSPA5	相互作用	VWF
ELANE	相互作用	VCAM1
XIAP	相互作用	CASP9
BCL2L1	相互作用	IRS1
GAD1	相互作用	GRB2
MAP2K7	相互作用	MAPK8IP1
ACP5	相互作用	TNFSF10
VIM	相互作用	XRCC4
GABBR1	相互作用	YWHAZ
PLSCR1	相互作用	PML
MAPK1	相互作用	SCNN1G
CASP2	相互作用	CASP8
NFE2L2	相互作用	PRKCQ
CDC25A	相互作用	CDKN3
CDK2	相互作用	CDKN1B
DLG4	相互作用	KCNA2
CDK5	相互作用	MAPK10
COL5A1	相互作用	THBS1
DLG4	相互作用	KCNA5
CDK2	相互作用	E2F1
APAF1	相互作用	CASP3
TUBA4A	相互作用	YWHAZ
BCL2L1	相互作用	EP300
CDK2	相互作用	FABP5
ESR1	相互作用	PFN1
CBS	相互作用	E2F1
PROC	相互作用	THBD
MAP3K5	相互作用	PARK7
PCNA	相互作用	POLB
BRCA1	相互作用	SMARCA4
THBS1	相互作用	VEGFA
EIF6	相互作用	VDAC1
CDKN1A	相互作用	GAPDH
MAP3K1	相互作用	TUBB2B
IRS1	相互作用	JAK2
NR4A1	相互作用	VHL
CREBBP	相互作用	MAP3K5
CCNB1	相互作用	PCNA
PLG	相互作用	PRNP
BRAF	相互作用	YWHAB
GRIN2B	相互作用	PTPN11
MAPK3	相互作用	RPS6KB1
ABL1	相互作用	SP1
CFTR	相互作用	FLNA
ARF1	相互作用	ITGA4
NR3C1	相互作用	RELA
ITGA4	相互作用	PTK2
ACTB	相互作用	SYN1
MAPK3	相互作用	VDR
NDUFS2	相互作用	NDUFV2
PHOX2A	相互作用	PRKACA
DES	相互作用	TRIM63
PML	相互作用	TGFBR2
TP53	相互作用	HDAC8
GRB2	相互作用	MT2A
LCK	相互作用	PECAM1
FN1	相互作用	SRC
EDN1	相互作用	EDNRA
ESR1	相互作用	HSPD1
ASS1	相互作用	MT2A
EGFR	相互作用	SYK
CRP	相互作用	MAPK1
CYP1A2	相互作用	POR
CASP2	相互作用	DCTN1
LCK	相互作用	PRKCQ
ERBB2	相互作用	MAPK8IP1
EEF1A1	相互作用	RPL11
LCK	相互作用	SMAD3
RPL11	相互作用	TP53
EP300	相互作用	STAT5B
FH	相互作用	MDH2
RAC1	相互作用	DOCK8
APP	相互作用	PSAT1
HDAC6	相互作用	SIRT2
ERBB2	相互作用	PTPN11
CD44	相互作用	EGR1
CASP3	相互作用	SP1
ATP1A1	相互作用	MYC
AR	相互作用	NCOA1
CST3	相互作用	CTSD
HDAC1	相互作用	SENP1
CAV1	相互作用	NOS1
PEBP1	相互作用	PPARD
CDK2	相互作用	MYH9
AR	相互作用	E2F1
CXCL1	相互作用	MMP9
F2	相互作用	F5
HADHA	相互作用	HLA-B
TOP2B	相互作用	BAZ1B
EPO	相互作用	HIF1A
PROC	相互作用	PROS1
DHCR7	相互作用	EEF1A1
ESR1	相互作用	HADH
XIAP	相互作用	CASP2
PTEN	相互作用	TP53
F2	相互作用	PLAT
APP	相互作用	KLK7
HSP90AB1	相互作用	LIMK1
ALB	相互作用	SCN5A
BAD	相互作用	PRKACA
APOD	相互作用	CDK2
MAPK9	相互作用	RPS6KB1
HNRNPK	相互作用	ITK
GRK2	相互作用	HDAC6
SMAD3	相互作用	SREBF2
JUN	相互作用	RB1
GRB2	相互作用	SLC23A1
XIAP	相互作用	BMPR2
AKT2	相互作用	APOA1
HIF1A	相互作用	EGLN1
ESR1	相互作用	FKBP4
DPP4	相互作用	CCL5
FABP1	相互作用	PPARA
HMGB1	相互作用	IL1B
SMARCE1	相互作用	CHD7
APP	相互作用	NTRK3
BARD1	相互作用	RELA
EGFR	相互作用	MAP2K1
IL2RA	相互作用	IL2RB
APCS	相互作用	FN1
ABL1	相互作用	NTRK1
ESR2	相互作用	NCOA1
CDK2	相互作用	PRKAR1A
ADORA2A	相互作用	NAMPT
COL1A2	相互作用	MMP2
AR	相互作用	RAF1
HSP90AA1	相互作用	MAP2K7
ALB	相互作用	DMD
DLG4	相互作用	KIF1B
CALM1	相互作用	IKBKG
HMGB1	相互作用	PLG
ESR1	相互作用	GAPDH
CDK2	相互作用	EGR1
VCL	相互作用	YWHAZ
ALB	相互作用	KRT6A
S100A1	相互作用	SYN1
NOTCH3	相互作用	PAK1
ELK1	相互作用	HDAC1
EP300	相互作用	GRB2
FGFR1	相互作用	SRC
GSK3B	相互作用	SMAD3
MMP13	相互作用	TIMP3
CD44	相互作用	ITGA4
CHUK	相互作用	NFKB2
ICAM1	相互作用	ITGB2
MMP7	相互作用	TNFSF11
BCL2	相互作用	IRS1
DUSP1	相互作用	MAPK10
ABCG1	相互作用	ABCG5
PSEN2	相互作用	PSENEN
CHRNA7	相互作用	FYN
HSPA5	相互作用	NFKB2
GFAP	相互作用	PSEN2
HSP90AA1	相互作用	VCAM1
ABL1	相互作用	FLNA
TGFA	相互作用	MAGI2
CASP2	相互作用	PRKDC
INSR	相互作用	PRKCD
A2M	相互作用	CDC42
HLA-B	相互作用	PGD
CASR	相互作用	PRKCB
EIF6	相互作用	PPP2R1A
FGFR2	相互作用	MMP14
ACTB	相互作用	AR
JUN	相互作用	VDR
F13A1	相互作用	FN1
RAC1	相互作用	SLC9A1
MAP3K5	相互作用	PPP5C
FKBP4	相互作用	YWHAZ
DDR2	相互作用	SRC
HINT1	相互作用	VHL
PFN1	相互作用	VCAM1
IGF1	相互作用	IGFBP5
FSHR	相互作用	TOP1
GZMB	相互作用	IGF2R
PDE4D	相互作用	TRAF1
GAPDH	相互作用	SNCA
VCL	相互作用	ACTR2
ACTN1	相互作用	CDK5R1
CTTN	相互作用	EP300
EP300	相互作用	HIF1A
CALR	相互作用	HLA-C
JUN	相互作用	UQCRB
HSPA5	相互作用	MAPK13
CALM1	相互作用	PPP3CA
ESR1	相互作用	RPS17
FLNA	相互作用	GRM5
SMAD3	相互作用	CPSF7
GAD1	相互作用	PRKACA
MAX	相互作用	CLIP2
HSPB1	相互作用	INS
NFKB2	相互作用	PFKL
FABP3	相互作用	PLK1
CREBBP	相互作用	HTT
BCL6	相互作用	HDAC1
CSF3R	相互作用	FTH1
PARP1	相互作用	CASP7
APP	相互作用	CTNNA1
MYC	相互作用	ADAM9
EIF6	相互作用	PDHA1
JAK1	相互作用	CXCR4
BTK	相互作用	TIRAP
STAT1	相互作用	TNFRSF1A
PCNA	相互作用	POLA1
TUBA1A	相互作用	IKBKG
EPOR	相互作用	PTPN11
GABRG2	相互作用	PRKCB
ALB	相互作用	KRT5
CTNNB1	相互作用	HDAC1
APP	相互作用	PRKCD
PIK3R1	相互作用	PRKCZ
BCL2A1	相互作用	BID
IRF8	相互作用	NFATC1
FYN	相互作用	SRC
E2F1	相互作用	ESR1
IRS1	相互作用	RAD51
CAV1	相互作用	FYN
CHUK	相互作用	SRC
ERBB3	相互作用	FGFR1
HDAC1	相互作用	NFATC1
RPL11	相互作用	VCAM1
EIF6	相互作用	PLK1
HDAC1	相互作用	HIF1A
PIK3CA	相互作用	STAT1
CASP3	相互作用	EGFR
FABP5	相互作用	AURKA
ESR1	相互作用	SMAD4
RAC1	相互作用	STAT3
HLA-B	相互作用	SDHA
NOS3	相互作用	PSEN2
DUSP1	相互作用	MAPK1
CAPN1	相互作用	GPT
APRT	相互作用	ITGA4
CXCL2	相互作用	PLG
APP	相互作用	ZAP70
SMN1	相互作用	STXBP2
MAP3K5	相互作用	MAP2K7
FBLN2	相互作用	HSPG2
PPP2R1A	相互作用	VCAM1
BCL2	相互作用	CDK2
EP300	相互作用	IL2
ESR1	相互作用	SMAD3
IL2RG	相互作用	JAK2
CAV1	相互作用	PDGFRB
MAPK1	相互作用	SP1
CDK2	相互作用	PFN1
SMAD7	相互作用	TGFB1I1
PAK1	相互作用	TGFBR1
CLU	相互作用	TGFBR2
ATP1A1	相互作用	EGFR
CFTR	相互作用	RYR2
CXCL8	相互作用	CCL5
NFKBIA	相互作用	NCOR1
CTNNB1	相互作用	GSK3B
MTOR	相互作用	CDC37
NRG1	相互作用	LIMK1
INSR	相互作用	JAK2
CDKN1A	相互作用	TCF4
ARRB1	相互作用	NFKBIA
CEBPB	相互作用	TP53
EGFR	相互作用	SH3GL2
HTR4	相互作用	SIN3A
EP300	相互作用	PCBD1
ESR2	相互作用	SREBF1
PPP2R1A	相互作用	PARK7
EGR1	相互作用	SNAI1
MME	相互作用	RPS19
SMARCA4	相互作用	YWHAZ
YWHAB	相互作用	KCNK9
PRKCQ	相互作用	PRKCZ
ITGB3	相互作用	PTPN1
ESR1	相互作用	TUBA1A
GCLC	相互作用	JUN
HSP90AA1	相互作用	NR1I3
CCNG1	相互作用	RBPMS
CASP3	相互作用	CDK2
IKBKB	相互作用	PEBP1
CTNNA1	相互作用	CTNNB1
CTNNB1	相互作用	TCF7
PRKCE	相互作用	SNCA
CDK2	相互作用	RPS17
EGR1	相互作用	MYB
ACTB	相互作用	RPS19
ESR2	相互作用	PPP5C
C1QB	相互作用	RELA
RHOA	相互作用	MAP3K1
ADRB1	相互作用	GRB2
TCF4	相互作用	TOP2A
ARF1	相互作用	OPRM1
RFX5	相互作用	HDAC4
CDK2	相互作用	EEF1A1
CALR	相互作用	EGR1
CACNA1D	相互作用	CALB1
GRB2	相互作用	PYGO1
CYP2A6	相互作用	POR
CACNA1C	相互作用	HDAC4
EGFR	相互作用	FOS
HSP90AA1	相互作用	PRKCE
FOS	相互作用	TUBB2B
EIF4E	相互作用	CD83
COL1A2	相互作用	MMP14
JUN	相互作用	MAP2K7
CYP11A1	相互作用	SMAD3
BAD	相互作用	MAPK8
AR	相互作用	HMGB1
PPP2R1A	相互作用	CUL4A
MMP8	相互作用	CXCL5
RPSA	相互作用	RPL11
HSF1	相互作用	MAPK1
GTF2I	相互作用	KDM1A
DUSP1	相互作用	NR3C1
AHR	相互作用	HSP90AA1
BSG	相互作用	SLC16A1
BAD	相互作用	BCL2A1
AKT1	相互作用	NCF1
SMARCA4	相互作用	SMARCE1
CAMK4	相互作用	CREBBP
CDK2	相互作用	PNP
CSNK1A1	相互作用	TNFRSF1B
EP300	相互作用	RPS6KB1
KIF1A	相互作用	ESR1
FASN	相互作用	MAP3K1
MAPK8	相互作用	MAP2K7
MDH2	相互作用	PCNA
MAPK13	相互作用	MAPK8IP2
HSPG2	相互作用	PDGFA
MCL1	相互作用	PCNA
PLSCR1	相互作用	SLPI
MAPK1	相互作用	YBX3
CAPN1	相互作用	GRIN2B
FOXG1	相互作用	SMAD4
MTOR	相互作用	PPP2R2A
AKT1	相互作用	BAX
ADAM10	相互作用	TGFA
ITK	相互作用	SMAD4
APP	相互作用	TPI1
PIK3R1	相互作用	PTPN6
CTNNB1	相互作用	JUP
HSPA5	相互作用	HSPD1
CDK5	相互作用	MEF2A
HNF4A	相互作用	SMAD4
VCAM1	相互作用	VIM
KCNJ2	相互作用	CASK
HRAS	相互作用	PRKCZ
MEN1	相互作用	VIM
SRC	相互作用	TNFRSF11A
PRKCA	相互作用	NCF1
CXCL8	相互作用	WASF1
ACTB	相互作用	PFN1
MAP2K1	相互作用	CFLAR
IGFBP1	相互作用	HNF1A
ALK	相互作用	IRS1
F2RL1	相互作用	TLR4
NFKB1	相互作用	RXRA
GNAS	相互作用	TSHR
CREBBP	相互作用	HMGB1
ESR1	相互作用	PPARGC1A
COL1A1	相互作用	IGFBP3
APP	相互作用	BCKDK
CYP2C9	相互作用	CDC37
ESR1	相互作用	ACTR2
SPARC	相互作用	TGFBR2
ACTN1	相互作用	FXN
RAF1	相互作用	YWHAZ
HSPB1	相互作用	VCP
BRAF	相互作用	YWHAZ
RARA	相互作用	SMARCE1
HNRNPK	相互作用	ITGA4
ABL1	相互作用	HCN2
HP	相互作用	CD163
HNF4A	相互作用	SIRT1
LMNA	相互作用	MME
CASP2	相互作用	MDM2
FLNA	相互作用	ITGB3
AR	相互作用	NR3C2
BCL2	相互作用	CEBPB
PTGER3	相互作用	TCF4
LRP1	相互作用	PRKACA
BRCA1	相互作用	CDK2
CASP1	相互作用	PSEN2
CASP1	相互作用	MEFV
PML	相互作用	THRA
MITF	相互作用	OTX2
FKBP4	相互作用	HSP90AB1
CASP3	相互作用	RAC1
PRNP	相互作用	PTRH1
KCNK3	相互作用	YWHAB
ACTG1	相互作用	TNFRSF1B
HNRNPA2B1	相互作用	HSP90AB1
MEFV	相互作用	NFKBIA
ESR1	相互作用	RAB7A
NR4A1	相互作用	SMARCE1
CLDN4	相互作用	SHBG
PML	相互作用	RAD51
CAV1	相互作用	IGFBP3
IL6ST	相互作用	PTPN6
ACTB	相互作用	YWHAZ
LYZ	相互作用	VHL
MAP2K7	相互作用	CFLAR
SRC	相互作用	WAS
FKBP1B	相互作用	RYR2
CDK2	相互作用	MIF
FKBP1A	相互作用	RYR1
BCL2	相互作用	BID
CCND1	相互作用	CRYAB
CREBBP	相互作用	STAT1
HCN2	相互作用	FYN
MMP2	相互作用	TIMP2
CDK5	相互作用	ERBB3
UCHL1	相互作用	TUBA1A
UBE2I	相互作用	NCOR1
BTK	相互作用	TLR4
FKBP4	相互作用	NR3C2
JUN	相互作用	MAPK10
EEF1A1	相互作用	SHBG
PPP2R1A	相互作用	RELA
HNF4A	相互作用	HNF1A
NTRK3	相互作用	MAPK1
ACTB	相互作用	ACTG1
TOP1	相互作用	NCOA6
BRCA1	相互作用	RB1
MAP3K1	相互作用	CDC37
FH	相互作用	GRB2
CASP3	相互作用	NFE2L2
CD5	相互作用	PIK3R1
ERBB3	相互作用	GRB2
HNRNPA2B1	相互作用	RPL11
ALK	相互作用	PIK3R2
FN1	相互作用	HGF
ZFHX3	相互作用	MYB
IGFBP5	相互作用	TF
GSTM1	相互作用	MAP3K5
ST14	相互作用	CDCP1
HSPA5	相互作用	YWHAB
CD19	相互作用	FYN
CREBBP	相互作用	SMAD2
FGFR1	相互作用	MMP2
ATXN3	相互作用	RPS27A
GNAI1	相互作用	HTR2A
CFTR	相互作用	PSMB4
KCNJ8	相互作用	KCNJ11
UBB	相互作用	UCHL1
APOE	相互作用	LRP1
CALM1	相互作用	YWHAZ
HSP90AB1	相互作用	HSPD1
ATP1A1	相互作用	SIRT1
BRCA1	相互作用	MYC
JUN	相互作用	NCOA1
ABCA1	相互作用	SDHB
BCL2L1	相互作用	CASP9
CFTR	相互作用	HNF1A
JAK1	相互作用	PDGFRA
APP	相互作用	CDC25A
GAPDH	相互作用	PGK1
RPS27A	相互作用	YWHAB
BTK	相互作用	TLR9
APP	相互作用	KNG1
PPARG	相互作用	MAPK1
HSPA5	相互作用	TSHR
MYC	相互作用	ALDH18A1
FOS	相互作用	MMP9
HSPA2	相互作用	TUBB1
EP300	相互作用	SIRT1
COL1A2	相互作用	MMP8
NPM1	相互作用	RPS27A
ABL1	相互作用	ERBB2
INSR	相互作用	NAMPT
SDHA	相互作用	SDHB
DCN	相互作用	MMP2
APOA1	相互作用	DNTT
BRCA1	相互作用	HSPD1
CEBPB	相互作用	RORA
VHL	相互作用	RBPMS
GFAP	相互作用	IKBKG
ESR1	相互作用	MYC
CDKN1A	相互作用	JUN
ETS1	相互作用	NFKB1
ASL	相互作用	HMOX1
ERBB2	相互作用	HDAC6
GTF2I	相互作用	SIN3A
TNFRSF1B	相互作用	AIFM1
FKBP1A	相互作用	TGFB1
APP	相互作用	ALDH4A1
ITGA4	相互作用	KRT6A
APEX1	相互作用	UBE2I
DUSP1	相互作用	FBXO32
APOH	相互作用	TP53
MAPK8	相互作用	TNFSF11
EGR1	相互作用	MAGI2
HSP90AA1	相互作用	NPM1
PRKACA	相互作用	RELA
FLNA	相互作用	SMAD3
CDK6	相互作用	SOX10
SMAD3	相互作用	CFLAR
CTNNB1	相互作用	MITF
NFKB2	相互作用	AIFM1
GRK2	相互作用	PRKCB
TNNC1	相互作用	TNNT2
NPM1	相互作用	CTNNBL1
HSPA5	相互作用	VCP
EP300	相互作用	MITF
PARP1	相互作用	CDKN1A
PDGFRB	相互作用	RAF1
UBE2I	相互作用	ZEB2
UBE2I	相互作用	NR1H2
INSR	相互作用	PTPN1
PGF	相互作用	NRP1
ITGA2B	相互作用	ITGB3
CHUK	相互作用	PRKDC
IRS1	相互作用	TYK2
JUN	相互作用	MAP2K4
LRP1	相互作用	THBS1
SMAD3	相互作用	PAEP
SLC25A20	相互作用	ESR1
AKT1	相互作用	AKT2
APOD	相互作用	LEPR
RBPMS	相互作用	CRBN
CDK4	相互作用	CDKN1A
CD40	相互作用	TRAF1
CDC42	相互作用	PRKCA
CYBA	相互作用	NCF1
HSF1	相互作用	HSP90AA1
INSR	相互作用	IRS1
CCR5	相互作用	STAT1
COL1A1	相互作用	DCN
SH3GL2	相互作用	SYN1
AQP1	相互作用	EPHB2
FCGR3A	相互作用	LCK
PCNA	相互作用	UNG
MAPK3	相互作用	TNFSF11
A2M	相互作用	NGF
GADD45A	相互作用	ESR1
HNRNPA2B1	相互作用	MAX
GSK3B	相互作用	MAP1B
FASLG	相互作用	FYN
EP300	相互作用	NCOA6
JUN	相互作用	STAT4
HSPB1	相互作用	TGFB1I1
CREBBP	相互作用	NFE2L2
CCR3	相互作用	CCL11
DCTN1	相互作用	KIF11
MAP1A	相互作用	PRKAG2
IFNGR1	相互作用	JAK1
HSP90AA1	相互作用	NOS3
NTRK1	相互作用	PTPN1
EGR1	相互作用	ERBB3
C1R	相互作用	GRB2
TP53	相互作用	NCOA1
ALK	相互作用	IKBKG
SDHA	相互作用	SDHC
GRIK2	相互作用	CASK
KRAS	相互作用	RAF1
BTK	相互作用	RELA
