中医学症状	关系	疾病
吐脓	潜在联系	Sinusitis
脘腹痞闷	潜在联系	Sinusitis
小便白浊	潜在联系	Sinusitis
胸腹胀满	潜在联系	Sinusitis
胸胁胀痛	潜在联系	Sinusitis
血尿	潜在联系	Sinusitis
灼痛	潜在联系	Sinusitis
湿痹	潜在联系	Sinusitis
膝酸软	潜在联系	Sinusitis
口鼻生疮	潜在联系	Sinusitis
乳房肿痛	潜在联系	Sinusitis
盗汗	潜在联系	Sinusitis
月经过多	潜在联系	Sinusitis
痔疮出血	潜在联系	Sinusitis
痔疮肿	潜在联系	Sinusitis
痈疮肿毒	潜在联系	Sinusitis
鼻塞	潜在联系	Sinusitis
风热	潜在联系	Sinusitis
目暗不明	潜在联系	Sinusitis
咽喉干痛	潜在联系	Sinusitis
小儿惊风	潜在联系	Osteogenic Sarcoma
脓水淋漓	潜在联系	Osteogenic Sarcoma
乳房结节	潜在联系	Osteogenic Sarcoma
咯痰色黄	潜在联系	Osteogenic Sarcoma
眼睛痛痒	潜在联系	Osteogenic Sarcoma
大便干结难下	潜在联系	Prune Belly Syndrome
吐血	潜在联系	Prune Belly Syndrome
头重	潜在联系	Prune Belly Syndrome
胸胁闷痛	潜在联系	Prune Belly Syndrome
肢体困重	潜在联系	Polycythemia Vera
乳房结节	潜在联系	Polycythemia Vera
潮热	潜在联系	Polycythemia Vera
耳漏	潜在联系	Parathyroid Carcinoma
小便痛	潜在联系	Parathyroid Carcinoma
胸膈痞闷	潜在联系	Parathyroid Carcinoma
胸胁闷痛	潜在联系	Parathyroid Carcinoma
癥瘕痞块	潜在联系	Parathyroid Carcinoma
头痈	潜在联系	Parathyroid Carcinoma
咽红肿痛	潜在联系	Parathyroid Carcinoma
口生疮	潜在联系	Hereditary Sensory And Autonomic Neuropathy Type 4
舌生疮	潜在联系	Hereditary Sensory And Autonomic Neuropathy Type 4
恶心	潜在联系	Hereditary Sensory And Autonomic Neuropathy Type 4
耳聋	潜在联系	Hereditary Sensory And Autonomic Neuropathy Type 4
身困重	潜在联系	Hereditary Sensory And Autonomic Neuropathy Type 4
头痛如裹	潜在联系	Hereditary Sensory And Autonomic Neuropathy Type 4
小便滴沥不净	潜在联系	Hereditary Sensory And Autonomic Neuropathy Type 4
小便黄	潜在联系	Hereditary Sensory And Autonomic Neuropathy Type 4
胸膈痞闷	潜在联系	Hereditary Sensory And Autonomic Neuropathy Type 4
胸胁痞闷	潜在联系	Hereditary Sensory And Autonomic Neuropathy Type 4
	潜在联系	Hereditary Sensory And Autonomic Neuropathy Type 4
小儿慢惊	潜在联系	Hereditary Sensory And Autonomic Neuropathy Type 4
脓水淋漓	潜在联系	Hereditary Sensory And Autonomic Neuropathy Type 4
粉刺	潜在联系	Hereditary Sensory And Autonomic Neuropathy Type 4
尿血血色紫红	潜在联系	Hereditary Sensory And Autonomic Neuropathy Type 4
痈疽不溃	潜在联系	Hereditary Sensory And Autonomic Neuropathy Type 4
鼻塞	潜在联系	Hereditary Sensory And Autonomic Neuropathy Type 4
痰稠	潜在联系	Hereditary Sensory And Autonomic Neuropathy Type 4
眼生翳膜	潜在联系	Hereditary Sensory And Autonomic Neuropathy Type 4
下血	潜在联系	Myocardial Infarction
身黄	潜在联系	Myocardial Infarction
尿血血色鲜红	潜在联系	Myocardial Infarction
流黄涕	潜在联系	Myocardial Infarction
痞闷	潜在联系	Multiple Myeloma
热痢	潜在联系	Multiple Myeloma
小便涩痛	潜在联系	Multiple Myeloma
乳腺增生	潜在联系	Multiple Myeloma
咽喉灼热	潜在联系	Multiple Myeloma
脘胁胀痛	潜在联系	Migraine Disorders
胃脘烧灼感	潜在联系	Migraine Disorders
易饥	潜在联系	Migraine Disorders
瘙痒明显	潜在联系	Migraine Disorders
目涩痛	潜在联系	Migraine Disorders
肢体沉重	潜在联系	Hypertensive Disease
肢体酸重	潜在联系	Hypertensive Disease
头痈	潜在联系	Hypertensive Disease
舌生疮	潜在联系	Hyperbilirubinemia, Rotor Type
恶心	潜在联系	Hyperbilirubinemia, Rotor Type
肝区胀痛	潜在联系	Hyperbilirubinemia, Rotor Type
尿色偏黄	潜在联系	Hyperbilirubinemia, Rotor Type
胸膈痞闷	潜在联系	Hyperbilirubinemia, Rotor Type
胸胁痞闷	潜在联系	Hyperbilirubinemia, Rotor Type
盗汗	潜在联系	Hyperbilirubinemia, Rotor Type
赤缕红斑	潜在联系	Hyperbilirubinemia, Rotor Type
目赤昏花	潜在联系	Hyperbilirubinemia, Rotor Type
淋浊	潜在联系	Budd-Chiari Syndrome
流脓涕	潜在联系	Budd-Chiari Syndrome
毛发油腻	潜在联系	Budd-Chiari Syndrome
痞满	潜在联系	Budd-Chiari Syndrome
浅表脓疱	潜在联系	Budd-Chiari Syndrome
热痹疼痛	潜在联系	Budd-Chiari Syndrome
热淋证	潜在联系	Budd-Chiari Syndrome
舌胖	潜在联系	Budd-Chiari Syndrome
身困重	潜在联系	Budd-Chiari Syndrome
身热	潜在联系	Budd-Chiari Syndrome
湿痹拘挛	潜在联系	Budd-Chiari Syndrome
嗖痛	潜在联系	Budd-Chiari Syndrome
小便淋浊	潜在联系	Budd-Chiari Syndrome
泄泻	潜在联系	Budd-Chiari Syndrome
胸中闷痛	潜在联系	Budd-Chiari Syndrome
灼痛	潜在联系	Budd-Chiari Syndrome
足膝红肿热痛	潜在联系	Budd-Chiari Syndrome
小儿慢惊	潜在联系	Budd-Chiari Syndrome
类风湿性关节炎	潜在联系	Budd-Chiari Syndrome
肢体重	潜在联系	Budd-Chiari Syndrome
脓水淋漓	潜在联系	Budd-Chiari Syndrome
膝酸软	潜在联系	Budd-Chiari Syndrome
赤白带下	潜在联系	Budd-Chiari Syndrome
身黄	潜在联系	Budd-Chiari Syndrome
便结	潜在联系	Budd-Chiari Syndrome
口鼻生疮	潜在联系	Budd-Chiari Syndrome
乳房肿块	潜在联系	Budd-Chiari Syndrome
乳痈	潜在联系	Budd-Chiari Syndrome
盗汗	潜在联系	Budd-Chiari Syndrome
五心烦热	潜在联系	Budd-Chiari Syndrome
便闭	潜在联系	Budd-Chiari Syndrome
妊娠漏血	潜在联系	Budd-Chiari Syndrome
腮腺炎肿痛	潜在联系	Budd-Chiari Syndrome
痈疽肿毒	潜在联系	Budd-Chiari Syndrome
痈疮肿毒	潜在联系	Budd-Chiari Syndrome
目暗昏花	潜在联系	Budd-Chiari Syndrome
咽部肿痛	潜在联系	Budd-Chiari Syndrome
咽喉痒	潜在联系	Budd-Chiari Syndrome
眼生翳膜	潜在联系	Budd-Chiari Syndrome
痒	潜在联系	Budd-Chiari Syndrome
浊涕臭气	潜在联系	Budd-Chiari Syndrome
浊涕臭气	潜在联系	Budd-Chiari Syndrome
咽喉干痛	潜在联系	Budd-Chiari Syndrome
牙龈疼痛	潜在联系	Budd-Chiari Syndrome
目暗	潜在联系	Budd-Chiari Syndrome
血热吐紐	潜在联系	Congestive Heart Failure
身目发黄	潜在联系	Congestive Heart Failure
吐脓	潜在联系	Congestive Heart Failure
鼻流浊涕	潜在联系	Congestive Heart Failure
痔疮肿	潜在联系	Glycogen Storage Disease Vii
类风湿性关节炎	潜在联系	Gingivitis
舌红	潜在联系	Classic Galactosemia
舌尖红	潜在联系	Classic Galactosemia
小便赤涩	潜在联系	Classic Galactosemia
夜惊	潜在联系	Classic Galactosemia
妇人脏躁	潜在联系	Classic Galactosemia
血热发斑	潜在联系	Classic Galactosemia
血热发疹	潜在联系	Classic Galactosemia
便黄而黏	潜在联系	Classic Galactosemia
恶心	潜在联系	Classic Galactosemia
耳下肿痛	潜在联系	Classic Galactosemia
腹胀满	潜在联系	Classic Galactosemia
口苦	潜在联系	Classic Galactosemia
淋浊	潜在联系	Classic Galactosemia
流黄稠涕	潜在联系	Classic Galactosemia
流脓涕	潜在联系	Classic Galactosemia
尿道灼热	潜在联系	Classic Galactosemia
尿黄如茶	潜在联系	Classic Galactosemia
尿混浊	潜在联系	Classic Galactosemia
脓痰	潜在联系	Classic Galactosemia
皮肤溃疡	潜在联系	Classic Galactosemia
皮肤黏膜破溃	潜在联系	Classic Galactosemia
浅表脓疱	潜在联系	Classic Galactosemia
热痹疼痛	潜在联系	Classic Galactosemia
舌红苔黄腻	潜在联系	Classic Galactosemia
舌体胖大	潜在联系	Classic Galactosemia
身热	潜在联系	Classic Galactosemia
湿痹拘挛	潜在联系	Classic Galactosemia
湿疮脓水浸淫	潜在联系	Classic Galactosemia
石淋	潜在联系	Classic Galactosemia
头痛如裹	潜在联系	Classic Galactosemia
头重	潜在联系	Classic Galactosemia
外阴红肿	潜在联系	Classic Galactosemia
脘痞	潜在联系	Classic Galactosemia
膝酸痛	潜在联系	Classic Galactosemia
下痢臭秽	潜在联系	Classic Galactosemia
下痢脓血	潜在联系	Classic Galactosemia
下肢沉重	潜在联系	Classic Galactosemia
小便白浊	潜在联系	Classic Galactosemia
小便黄	潜在联系	Classic Galactosemia
小腹满	潜在联系	Classic Galactosemia
小腹胀痛	潜在联系	Classic Galactosemia
胸脘满闷	潜在联系	Classic Galactosemia
胸胁胀痛	潜在联系	Classic Galactosemia
胸胀满	潜在联系	Classic Galactosemia
胸中满闷	潜在联系	Classic Galactosemia
胸中闷热	潜在联系	Classic Galactosemia
血尿	潜在联系	Classic Galactosemia
阴痒	潜在联系	Classic Galactosemia
胀痛	潜在联系	Classic Galactosemia
足膝红肿热痛	潜在联系	Classic Galactosemia
小儿惊啼	潜在联系	Classic Galactosemia
小儿惊痫	潜在联系	Classic Galactosemia
小儿惊风	潜在联系	Classic Galactosemia
小儿慢惊	潜在联系	Classic Galactosemia
带下阴痒	潜在联系	Classic Galactosemia
湿痹	潜在联系	Classic Galactosemia
脓水淋漓	潜在联系	Classic Galactosemia
血淋涩痛	潜在联系	Classic Galactosemia
赤白带下	潜在联系	Classic Galactosemia
嘈杂呕吐	潜在联系	Classic Galactosemia
身黄	潜在联系	Classic Galactosemia
里急后重	潜在联系	Classic Galactosemia
便干	潜在联系	Classic Galactosemia
便结	潜在联系	Classic Galactosemia
大便出血	潜在联系	Classic Galactosemia
多饮	潜在联系	Classic Galactosemia
呃逆	潜在联系	Classic Galactosemia
乳房肿块	潜在联系	Classic Galactosemia
胃酸过多	潜在联系	Classic Galactosemia
易饥	潜在联系	Classic Galactosemia
胃火牙痛	潜在联系	Classic Galactosemia
五心烦热	潜在联系	Classic Galactosemia
形体消瘦	潜在联系	Classic Galactosemia
便闭	潜在联系	Classic Galactosemia
便血	潜在联系	Classic Galactosemia
肠风下血	潜在联系	Classic Galactosemia
赤缕红斑	潜在联系	Classic Galactosemia
恶疮	潜在联系	Classic Galactosemia
痱疹鲜红	潜在联系	Classic Galactosemia
腐肉不去	潜在联系	Classic Galactosemia
咳血	潜在联系	Classic Galactosemia
两腮肿	潜在联系	Classic Galactosemia
尿血	潜在联系	Classic Galactosemia
尿血血色鲜红	潜在联系	Classic Galactosemia
腮腺炎肿痛	潜在联系	Classic Galactosemia
舌暗红	潜在联系	Classic Galactosemia
舌赤	潜在联系	Classic Galactosemia
痈疽肿毒	潜在联系	Classic Galactosemia
痈肿	潜在联系	Classic Galactosemia
月经提前	潜在联系	Classic Galactosemia
痔疮出血	潜在联系	Classic Galactosemia
痔疮痛	潜在联系	Classic Galactosemia
痔疮肿痛	潜在联系	Classic Galactosemia
恶露不尽	潜在联系	Classic Galactosemia
焮肿	潜在联系	Classic Galactosemia
痈肿疔疮	潜在联系	Classic Galactosemia
痱子	潜在联系	Classic Galactosemia
红疹	潜在联系	Classic Galactosemia
肠痈	潜在联系	Classic Galactosemia
鼻流浊涕	潜在联系	Classic Galactosemia
咯痰色黄	潜在联系	Classic Galactosemia
流黄浊涕	潜在联系	Classic Galactosemia
流浊涕	潜在联系	Classic Galactosemia
瘙痒	潜在联系	Classic Galactosemia
脱屑	潜在联系	Classic Galactosemia
咽部肿痛	潜在联系	Classic Galactosemia
咽喉干	潜在联系	Classic Galactosemia
咽喉痒	潜在联系	Classic Galactosemia
眼边刺痒	潜在联系	Classic Galactosemia
眼睛痛痒	潜在联系	Classic Galactosemia
眼生翳膜	潜在联系	Classic Galactosemia
痒	潜在联系	Classic Galactosemia
痰热咳嗽	潜在联系	Classic Galactosemia
目痛	潜在联系	Classic Galactosemia
风热郁肺咽痛	潜在联系	Classic Galactosemia
风疹	潜在联系	Classic Galactosemia
皮肤溃疡	潜在联系	Diabetes Mellitus, Non-Insulin-Dependent
尿热	潜在联系	Dental Enamel Hypoplasia
肢体酸重	潜在联系	Dental Enamel Hypoplasia
口渴喜饮	潜在联系	Dens In Dente
胁肋疼痛	潜在联系	Dens In Dente
泄泻	潜在联系	Dens In Dente
臁疮糜烂	潜在联系	Cystic Fibrosis
大便脓血	潜在联系	Coronary Artery Disease
心痛	潜在联系	Coronary Artery Disease
脘痞	潜在联系	Coronary Artery Disease
小便淋漓	潜在联系	Coronary Artery Disease
舌生疮	潜在联系	Chediak-Higashi Syndrome
血热吐紐	潜在联系	Chediak-Higashi Syndrome
妇人脏躁	潜在联系	Chediak-Higashi Syndrome
肝区胀痛	潜在联系	Chediak-Higashi Syndrome
尿赤	潜在联系	Chediak-Higashi Syndrome
尿黄如茶	潜在联系	Chediak-Higashi Syndrome
热痢	潜在联系	Chediak-Higashi Syndrome
小便涩痛	潜在联系	Chediak-Higashi Syndrome
胸腹胀痛	潜在联系	Chediak-Higashi Syndrome
胸膈痞闷	潜在联系	Chediak-Higashi Syndrome
肢体酸重	潜在联系	Chediak-Higashi Syndrome
赤白带下	潜在联系	Chediak-Higashi Syndrome
黄水淋漓	潜在联系	Chediak-Higashi Syndrome
嘈杂呕吐	潜在联系	Chediak-Higashi Syndrome
乳腺增生	潜在联系	Chediak-Higashi Syndrome
咳血	潜在联系	Chediak-Higashi Syndrome
两腮肿痛	潜在联系	Chediak-Higashi Syndrome
衄血	潜在联系	Chediak-Higashi Syndrome
痈肿	潜在联系	Chediak-Higashi Syndrome
肿毒	潜在联系	Chediak-Higashi Syndrome
红疹	潜在联系	Chediak-Higashi Syndrome
肠痈肿痛	潜在联系	Chediak-Higashi Syndrome
目涩	潜在联系	Chediak-Higashi Syndrome
瘙痒明显	潜在联系	Chediak-Higashi Syndrome
咽黏膜充血	潜在联系	Chediak-Higashi Syndrome
尿黄	潜在联系	Bloom Syndrome
舌有齿痕	潜在联系	Bloom Syndrome
吐脓	潜在联系	Bloom Syndrome
脘腹痞闷	潜在联系	Bloom Syndrome
胸腹胀满	潜在联系	Bloom Syndrome
胸胁胀痛	潜在联系	Bloom Syndrome
痔疮肿	潜在联系	Bloom Syndrome
鼻塞	潜在联系	Bloom Syndrome
目暗不明	潜在联系	Bloom Syndrome
两胁胀痛	潜在联系	Asthma
舌红苔黄腻	潜在联系	Asthma
头身困重	潜在联系	Asthma
小腹胀痛	潜在联系	Asthma
口渴喜饮	潜在联系	Fabry Disease
口舌干燥	潜在联系	Fabry Disease
吐血	潜在联系	Fabry Disease
脓痰	潜在联系	Fabry Disease
皮肤黏膜破溃	潜在联系	Fabry Disease
头痛如裹	潜在联系	Fabry Disease
下血	潜在联系	Fabry Disease
盗汗	潜在联系	Fabry Disease
风眼烂弦	潜在联系	Fabry Disease
尿血血色鲜红	潜在联系	Fabry Disease
痱子	潜在联系	Fabry Disease
疥癣瘙痒	潜在联系	Fabry Disease
流黄浊涕	潜在联系	Fabry Disease
舌生疮	潜在联系	Sickle Cell Anemia
疖肿	潜在联系	Sickle Cell Anemia
尿色偏黄	潜在联系	Sickle Cell Anemia
石淋	潜在联系	Sickle Cell Anemia
膝酸痛	潜在联系	Sickle Cell Anemia
下痢臭秽	潜在联系	Sickle Cell Anemia
胁肋疼痛	潜在联系	Sickle Cell Anemia
乳房疼痛	潜在联系	Sickle Cell Anemia
潮热	潜在联系	Sickle Cell Anemia
赤缕红斑	潜在联系	Sickle Cell Anemia
肿毒	潜在联系	Sickle Cell Anemia
牙痛	潜在联系	Sickle Cell Anemia
血热吐衄	潜在联系	Anemia
关节红肿热痛	潜在联系	Anemia
肌肉红肿热痛	潜在联系	Anemia
下肢沉重	潜在联系	Anemia
小便淋漓	潜在联系	Anemia
血淋涩痛	潜在联系	Anemia
乳腺增生	潜在联系	Anemia
牙龈出血	潜在联系	Anemia
口燥	潜在联系	Anemia
小儿疳积发热	潜在联系	Anemia
尿血血色紫红	潜在联系	Anemia
头痈	潜在联系	Anemia
痈疽难溃	潜在联系	Anemia
痔疮肿痛	潜在联系	Anemia
鼻流浊涕	潜在联系	Anemia
目痒	潜在联系	Anemia
风疹	潜在联系	Anemia
湿痹病	潜在联系	Abetalipoproteinemia
牙痛	潜在联系	Abetalipoproteinemia
妇人脏躁	潜在联系	Generalized Congenital Lipodystrophy With Myopathy
腹胀	潜在联系	Generalized Congenital Lipodystrophy With Myopathy
腹胀满	潜在联系	Generalized Congenital Lipodystrophy With Myopathy
两胁胀痛	潜在联系	Generalized Congenital Lipodystrophy With Myopathy
尿道灼热	潜在联系	Generalized Congenital Lipodystrophy With Myopathy
尿黄如茶	潜在联系	Generalized Congenital Lipodystrophy With Myopathy
尿热	潜在联系	Generalized Congenital Lipodystrophy With Myopathy
尿痛	潜在联系	Generalized Congenital Lipodystrophy With Myopathy
脓疱	潜在联系	Generalized Congenital Lipodystrophy With Myopathy
皮肤糜烂	潜在联系	Generalized Congenital Lipodystrophy With Myopathy
皮肤黏膜破溃	潜在联系	Generalized Congenital Lipodystrophy With Myopathy
痞闷	潜在联系	Generalized Congenital Lipodystrophy With Myopathy
舌体肿	潜在联系	Generalized Congenital Lipodystrophy With Myopathy
蚀疮	潜在联系	Generalized Congenital Lipodystrophy With Myopathy
湿热下注	潜在联系	Generalized Congenital Lipodystrophy With Myopathy
听衰	潜在联系	Generalized Congenital Lipodystrophy With Myopathy
下痢脓血	潜在联系	Generalized Congenital Lipodystrophy With Myopathy
下肢沉重	潜在联系	Generalized Congenital Lipodystrophy With Myopathy
小腹胀痛	潜在联系	Generalized Congenital Lipodystrophy With Myopathy
胸膈痞满	潜在联系	Generalized Congenital Lipodystrophy With Myopathy
胸中闷痛	潜在联系	Generalized Congenital Lipodystrophy With Myopathy
血淋	潜在联系	Generalized Congenital Lipodystrophy With Myopathy
小儿惊痫	潜在联系	Generalized Congenital Lipodystrophy With Myopathy
带下阴痒	潜在联系	Generalized Congenital Lipodystrophy With Myopathy
湿痹病	潜在联系	Generalized Congenital Lipodystrophy With Myopathy
聘耳流脓	潜在联系	Generalized Congenital Lipodystrophy With Myopathy
脐腹胀痛	潜在联系	Generalized Congenital Lipodystrophy With Myopathy
乳房胀痛	潜在联系	Generalized Congenital Lipodystrophy With Myopathy
乳胀痛	潜在联系	Generalized Congenital Lipodystrophy With Myopathy
胃脘嘈杂不适	潜在联系	Generalized Congenital Lipodystrophy With Myopathy
潮热	潜在联系	Generalized Congenital Lipodystrophy With Myopathy
肠风下血	潜在联系	Generalized Congenital Lipodystrophy With Myopathy
齿痛	潜在联系	Generalized Congenital Lipodystrophy With Myopathy
尿血	潜在联系	Generalized Congenital Lipodystrophy With Myopathy
衄血	潜在联系	Generalized Congenital Lipodystrophy With Myopathy
痈肿疮疡	潜在联系	Generalized Congenital Lipodystrophy With Myopathy
痔疮痛	潜在联系	Generalized Congenital Lipodystrophy With Myopathy
庁肿	潜在联系	Generalized Congenital Lipodystrophy With Myopathy
风热	潜在联系	Generalized Congenital Lipodystrophy With Myopathy
微恶风寒	潜在联系	Generalized Congenital Lipodystrophy With Myopathy
咽喉干	潜在联系	Generalized Congenital Lipodystrophy With Myopathy
目涩痛	潜在联系	Generalized Congenital Lipodystrophy With Myopathy
风疹	潜在联系	Generalized Congenital Lipodystrophy With Myopathy
舌红苔黄腻	潜在联系	Pyogenic Bacterial Infections Due To Myd88 Deficiency
胸中闷痛	潜在联系	Pyogenic Bacterial Infections Due To Myd88 Deficiency
小儿慢惊	潜在联系	Pyogenic Bacterial Infections Due To Myd88 Deficiency
嘈杂	潜在联系	Pyogenic Bacterial Infections Due To Myd88 Deficiency
停食	潜在联系	Pyogenic Bacterial Infections Due To Myd88 Deficiency
胃脘嘈杂	潜在联系	Pyogenic Bacterial Infections Due To Myd88 Deficiency
脱屑	潜在联系	Pyogenic Bacterial Infections Due To Myd88 Deficiency
臁疮糜烂	潜在联系	Familial Gestational Hyperthyroidism
臁疮糜烂	潜在联系	Bile Acid Synthesis Defect, Congenital, 3
大便干结难下	潜在联系	Dominant Beta-Thalassemia
大便干结	潜在联系	Vitamin B12-Unresponsive Methylmalonic Acidemia Type Mut0
大便脓血	潜在联系	Vitamin B12-Unresponsive Methylmalonic Acidemia Type Mut0
舌尖红	潜在联系	Vitamin B12-Unresponsive Methylmalonic Acidemia Type Mut0
口苦	潜在联系	Vitamin B12-Unresponsive Methylmalonic Acidemia Type Mut0
尿黄	潜在联系	Vitamin B12-Unresponsive Methylmalonic Acidemia Type Mut0
舌有齿痕	潜在联系	Vitamin B12-Unresponsive Methylmalonic Acidemia Type Mut0
吐脓	潜在联系	Vitamin B12-Unresponsive Methylmalonic Acidemia Type Mut0
脘腹痞闷	潜在联系	Vitamin B12-Unresponsive Methylmalonic Acidemia Type Mut0
胸胁胀痛	潜在联系	Vitamin B12-Unresponsive Methylmalonic Acidemia Type Mut0
膝酸软	潜在联系	Vitamin B12-Unresponsive Methylmalonic Acidemia Type Mut0
口鼻生疮	潜在联系	Vitamin B12-Unresponsive Methylmalonic Acidemia Type Mut0
乳房肿痛	潜在联系	Vitamin B12-Unresponsive Methylmalonic Acidemia Type Mut0
月经过多	潜在联系	Vitamin B12-Unresponsive Methylmalonic Acidemia Type Mut0
痔疮出血	潜在联系	Vitamin B12-Unresponsive Methylmalonic Acidemia Type Mut0
痔疮肿	潜在联系	Vitamin B12-Unresponsive Methylmalonic Acidemia Type Mut0
痈疮肿毒	潜在联系	Vitamin B12-Unresponsive Methylmalonic Acidemia Type Mut0
鼻塞	潜在联系	Vitamin B12-Unresponsive Methylmalonic Acidemia Type Mut0
目暗不明	潜在联系	Vitamin B12-Unresponsive Methylmalonic Acidemia Type Mut0
咽喉干痛	潜在联系	Vitamin B12-Unresponsive Methylmalonic Acidemia Type Mut0
潮热	潜在联系	Carney-Stratakis Syndrome
风热感冒	潜在联系	Carney-Stratakis Syndrome
皮肤风团色红	潜在联系	Carney-Stratakis Syndrome
舌红	潜在联系	Peripheral Demyelinating Neuropathy-Central Dysmyelinating Leukodystrophy-Waardenburg Syndrome-Hirschsprung Disease
舌糜烂	潜在联系	Peripheral Demyelinating Neuropathy-Central Dysmyelinating Leukodystrophy-Waardenburg Syndrome-Hirschsprung Disease
血热吐紐	潜在联系	Peripheral Demyelinating Neuropathy-Central Dysmyelinating Leukodystrophy-Waardenburg Syndrome-Hirschsprung Disease
夜惊	潜在联系	Peripheral Demyelinating Neuropathy-Central Dysmyelinating Leukodystrophy-Waardenburg Syndrome-Hirschsprung Disease
夜啼	潜在联系	Peripheral Demyelinating Neuropathy-Central Dysmyelinating Leukodystrophy-Waardenburg Syndrome-Hirschsprung Disease
耳道流脓	潜在联系	Peripheral Demyelinating Neuropathy-Central Dysmyelinating Leukodystrophy-Waardenburg Syndrome-Hirschsprung Disease
黏液便	潜在联系	Peripheral Demyelinating Neuropathy-Central Dysmyelinating Leukodystrophy-Waardenburg Syndrome-Hirschsprung Disease
痞满	潜在联系	Peripheral Demyelinating Neuropathy-Central Dysmyelinating Leukodystrophy-Waardenburg Syndrome-Hirschsprung Disease
舌体胖大	潜在联系	Peripheral Demyelinating Neuropathy-Central Dysmyelinating Leukodystrophy-Waardenburg Syndrome-Hirschsprung Disease
石淋涩痛	潜在联系	Peripheral Demyelinating Neuropathy-Central Dysmyelinating Leukodystrophy-Waardenburg Syndrome-Hirschsprung Disease
外阴红肿	潜在联系	Peripheral Demyelinating Neuropathy-Central Dysmyelinating Leukodystrophy-Waardenburg Syndrome-Hirschsprung Disease
胸痞	潜在联系	Peripheral Demyelinating Neuropathy-Central Dysmyelinating Leukodystrophy-Waardenburg Syndrome-Hirschsprung Disease
胸脘满闷	潜在联系	Peripheral Demyelinating Neuropathy-Central Dysmyelinating Leukodystrophy-Waardenburg Syndrome-Hirschsprung Disease
胸中满闷	潜在联系	Peripheral Demyelinating Neuropathy-Central Dysmyelinating Leukodystrophy-Waardenburg Syndrome-Hirschsprung Disease
血淋	潜在联系	Peripheral Demyelinating Neuropathy-Central Dysmyelinating Leukodystrophy-Waardenburg Syndrome-Hirschsprung Disease
血尿	潜在联系	Peripheral Demyelinating Neuropathy-Central Dysmyelinating Leukodystrophy-Waardenburg Syndrome-Hirschsprung Disease
足膝红肿热痛	潜在联系	Peripheral Demyelinating Neuropathy-Central Dysmyelinating Leukodystrophy-Waardenburg Syndrome-Hirschsprung Disease
小便淋漓	潜在联系	Peripheral Demyelinating Neuropathy-Central Dysmyelinating Leukodystrophy-Waardenburg Syndrome-Hirschsprung Disease
小儿惊痫	潜在联系	Peripheral Demyelinating Neuropathy-Central Dysmyelinating Leukodystrophy-Waardenburg Syndrome-Hirschsprung Disease
小儿惊风	潜在联系	Peripheral Demyelinating Neuropathy-Central Dysmyelinating Leukodystrophy-Waardenburg Syndrome-Hirschsprung Disease
类风湿性关节炎	潜在联系	Peripheral Demyelinating Neuropathy-Central Dysmyelinating Leukodystrophy-Waardenburg Syndrome-Hirschsprung Disease
血痢	潜在联系	Peripheral Demyelinating Neuropathy-Central Dysmyelinating Leukodystrophy-Waardenburg Syndrome-Hirschsprung Disease
嘈杂呕吐	潜在联系	Peripheral Demyelinating Neuropathy-Central Dysmyelinating Leukodystrophy-Waardenburg Syndrome-Hirschsprung Disease
肠鸣	潜在联系	Peripheral Demyelinating Neuropathy-Central Dysmyelinating Leukodystrophy-Waardenburg Syndrome-Hirschsprung Disease
肛门灼热	潜在联系	Peripheral Demyelinating Neuropathy-Central Dysmyelinating Leukodystrophy-Waardenburg Syndrome-Hirschsprung Disease
乳房肿块	潜在联系	Peripheral Demyelinating Neuropathy-Central Dysmyelinating Leukodystrophy-Waardenburg Syndrome-Hirschsprung Disease
乳房肿块	潜在联系	Peripheral Demyelinating Neuropathy-Central Dysmyelinating Leukodystrophy-Waardenburg Syndrome-Hirschsprung Disease
乳癖	潜在联系	Peripheral Demyelinating Neuropathy-Central Dysmyelinating Leukodystrophy-Waardenburg Syndrome-Hirschsprung Disease
胃脘嘈杂	潜在联系	Peripheral Demyelinating Neuropathy-Central Dysmyelinating Leukodystrophy-Waardenburg Syndrome-Hirschsprung Disease
便血	潜在联系	Peripheral Demyelinating Neuropathy-Central Dysmyelinating Leukodystrophy-Waardenburg Syndrome-Hirschsprung Disease
痱疹鲜红	潜在联系	Peripheral Demyelinating Neuropathy-Central Dysmyelinating Leukodystrophy-Waardenburg Syndrome-Hirschsprung Disease
咯血	潜在联系	Peripheral Demyelinating Neuropathy-Central Dysmyelinating Leukodystrophy-Waardenburg Syndrome-Hirschsprung Disease
咳血	潜在联系	Peripheral Demyelinating Neuropathy-Central Dysmyelinating Leukodystrophy-Waardenburg Syndrome-Hirschsprung Disease
两腮肿痛	潜在联系	Peripheral Demyelinating Neuropathy-Central Dysmyelinating Leukodystrophy-Waardenburg Syndrome-Hirschsprung Disease
妊娠漏血	潜在联系	Peripheral Demyelinating Neuropathy-Central Dysmyelinating Leukodystrophy-Waardenburg Syndrome-Hirschsprung Disease
天行赤眼	潜在联系	Peripheral Demyelinating Neuropathy-Central Dysmyelinating Leukodystrophy-Waardenburg Syndrome-Hirschsprung Disease
痈疽肿毒	潜在联系	Peripheral Demyelinating Neuropathy-Central Dysmyelinating Leukodystrophy-Waardenburg Syndrome-Hirschsprung Disease
