基因	关系	通路
FOS	相关通路	Pathway::PC7_4038
ATM	相关通路	Pathway::PC7_6895
VIM	相关通路	Pathway::PC7_5551
CREBBP	相关通路	Pathway::PC7_6918
CHUK	相关通路	Pathway::PC7_3663
PSEN1	相关通路	Pathway::PC7_3811
STAT1	相关通路	Pathway::PC7_6886
FOS	相关通路	Pathway::PC7_3327
EGR1	相关通路	Pathway::PC7_2440
SRC	相关通路	Pathway::PC7_7042
PDGFA	相关通路	Pathway::WP2848_r80009
NOS3	相关通路	Pathway::WP2034_r80016
GPBAR1	相关通路	Pathway::PC7_4043
SPP1	相关通路	Pathway::PC7_2076
GADD45A	相关通路	Pathway::PC7_1178
MS4A2	相关通路	Pathway::PC7_3884
SERPINE1	相关通路	Pathway::WP1533_r82707
F11R	相关通路	Pathway::PC7_7439
PIK3R1	相关通路	Pathway::PC7_4749
MAPK3	相关通路	Pathway::PC7_7267
RAC1	相关通路	Pathway::PC7_2251
CD247	相关通路	Pathway::PC7_6896
RAC1	相关通路	Pathway::WP481_r82731
AKR1C2	相关通路	Pathway::WP696_r72081
UBB	相关通路	Pathway::PC7_1516
LCK	相关通路	Pathway::PC7_3324
HLA-B	相关通路	Pathway::PC7_3427
FCER1A	相关通路	Pathway::PC7_4741
GRIA2	相关通路	Pathway::PC7_8312
MAPK9	相关通路	Pathway::WP69_r79955
COL2A1	相关通路	Pathway::WP2431_r84650
MAPK10	相关通路	Pathway::PC7_3699
GAD1	相关通路	Pathway::WP550_r81207
PSMB4	相关通路	Pathway::PC7_1563
APOA1	相关通路	Pathway::PC7_2095
CCND1	相关通路	Pathway::WP2878_r79689
CHUK	相关通路	Pathway::WP23_r79985
NAGLU	相关通路	Pathway::WP3594_r84573
RPS28	相关通路	Pathway::PC7_3963
GABRG2	相关通路	Pathway::PC7_8340
NFKB2	相关通路	Pathway::WP15_r82705
PTK2	相关通路	Pathway::WP2864_r79278
JAK2	相关通路	Pathway::PC7_6512
ITGB1	相关通路	Pathway::PC7_1863
CNR1	相关通路	Pathway::WP455_r81793
CD19	相关通路	Pathway::PC7_1987
RPS28	相关通路	Pathway::PC7_4728
JAK1	相关通路	Pathway::PC7_4107
PPARA	相关通路	Pathway::PC7_6818
GZMB	相关通路	Pathway::PC7_7465
SLC2A4	相关通路	Pathway::PC7_2500
MAP2K2	相关通路	Pathway::PC7_7457
BMP4	相关通路	Pathway::PC7_5537
CD86	相关通路	Pathway::PC7_4741
RAC1	相关通路	Pathway::PC7_2928
CASP3	相关通路	Pathway::WP2374_r73668
GRIA2	相关通路	Pathway::PC7_1539
MAP2K1	相关通路	Pathway::PC7_7269
PPP2R2A	相关通路	Pathway::PC7_5527
NOTCH2	相关通路	Pathway::PC7_5789
PIK3CA	相关通路	Pathway::PC7_7482
PCK1	相关通路	Pathway::PC7_4207
PROS1	相关通路	Pathway::PC7_6540
KLK3	相关通路	Pathway::PC7_6887
FGB	相关通路	Pathway::PC7_4757
LIG1	相关通路	Pathway::PC7_6595
MAPK13	相关通路	Pathway::PC7_7503
APOA1	相关通路	Pathway::PC7_4970
PC	相关通路	Pathway::PC7_3017
GADD45A	相关通路	Pathway::WP45_r80001
EPO	相关通路	Pathway::WP2849_r84764
PTK2B	相关通路	Pathway::PC7_4762
PTPN6	相关通路	Pathway::PC7_4306
TAC1	相关通路	Pathway::PC7_6396
TOP2A	相关通路	Pathway::PC7_2521
VWF	相关通路	Pathway::WP272_r84876
JUN	相关通路	Pathway::WP2881_r79603
BRAF	相关通路	Pathway::PC7_6618
CYCS	相关通路	Pathway::PC7_4785
CRHR1	相关通路	Pathway::PC7_4043
PTGER2	相关通路	Pathway::WP98_r72088
TAC1	相关通路	Pathway::PC7_4107
HP	相关通路	Pathway::PC7_7396
AKT2	相关通路	Pathway::PC7_1684
TNFRSF1B	相关通路	Pathway::WP453_r80206
CYP11B2	相关通路	Pathway::WP43_r84102
TBXAS1	相关通路	Pathway::PC7_3647
CD80	相关通路	Pathway::PC7_2701
RAC1	相关通路	Pathway::PC7_4741
PTEN	相关通路	Pathway::PC7_6994
PRKCG	相关通路	Pathway::PC7_5890
LPL	相关通路	Pathway::WP430_r82344
MAP2	相关通路	Pathway::PC7_4938
PTPN1	相关通路	Pathway::PC7_4773
MMP9	相关通路	Pathway::WP2036_r84527
PRKCG	相关通路	Pathway::WP536_r80211
NR1I2	相关通路	Pathway::PC7_4112
CYP2D6	相关通路	Pathway::WP691_r79986
FYN	相关通路	Pathway::PC7_7497
PDPK1	相关通路	Pathway::PC7_7788
PYGL	相关通路	Pathway::PC7_4207
CYP24A1	相关通路	Pathway::PC7_2098
PRDX4	相关通路	Pathway::WP15_r82705
STAT1	相关通路	Pathway::WP205_r80223
MTR	相关通路	Pathway::PC7_2651
RAC1	相关通路	Pathway::WP2290_r79988
TNFRSF10B	相关通路	Pathway::PC7_3277
PIK3R2	相关通路	Pathway::WP138_r79958
HBEGF	相关通路	Pathway::PC7_3884
ACO2	相关通路	Pathway::PC7_8229
ICAM1	相关通路	Pathway::PC7_2078
CALM1	相关通路	Pathway::PC7_7444
LCK	相关通路	Pathway::PC7_7448
RASGRF2	相关通路	Pathway::PC7_6852
MTOR	相关通路	Pathway::PC7_4688
MYC	相关通路	Pathway::PC7_4112
TP53	相关通路	Pathway::WP2431_r84650
NRP1	相关通路	Pathway::PC7_4917
JAK1	相关通路	Pathway::PC7_7439
GADD45A	相关通路	Pathway::WP2377_r80437
CTNNA1	相关通路	Pathway::PC7_2524
YWHAB	相关通路	Pathway::PC7_6745
COX6B1	相关通路	Pathway::PC7_6942
PLA2G4A	相关通路	Pathway::PC7_7439
MAPK7	相关通路	Pathway::WP382_r79951
IL6ST	相关通路	Pathway::PC7_7461
SCN5A	相关通路	Pathway::PC7_1863
CTNNB1	相关通路	Pathway::PC7_2524
APOC3	相关通路	Pathway::WP2878_r79689
GPX4	相关通路	Pathway::WP15_r82705
CDK6	相关通路	Pathway::PC7_2521
NPSR1	相关通路	Pathway::PC7_4044
CYP17A1	相关通路	Pathway::PC7_2905
SPP1	相关通路	Pathway::WP474_r80208
PLN	相关通路	Pathway::WP536_r80211
SCN4A	相关通路	Pathway::PC7_4765
HSP90AA1	相关通路	Pathway::PC7_7439
APLNR	相关通路	Pathway::PC7_2620
FOSL1	相关通路	Pathway::PC7_2440
JUP	相关通路	Pathway::WP2355_r79973
SLCO1B3	相关通路	Pathway::PC7_5326
CD14	相关通路	Pathway::PC7_1517
PRKCG	相关通路	Pathway::PC7_4001
AKT2	相关通路	Pathway::PC7_2625
CCNE1	相关通路	Pathway::WP2359_r72121
SH3GL2	相关通路	Pathway::PC7_5047
ECHS1	相关通路	Pathway::WP357_r70641
NDUFA2	相关通路	Pathway::PC7_8229
CCNB1	相关通路	Pathway::PC7_1538
EIF4E	相关通路	Pathway::PC7_3014
CSF2RB	相关通路	Pathway::WP127_r78498
RELA	相关通路	Pathway::PC7_7778
MMP13	相关通路	Pathway::PC7_3777
FYN	相关通路	Pathway::PC7_5882
TIMP1	相关通路	Pathway::PC7_3777
EGFR	相关通路	Pathway::PC7_7447
MAP2K1	相关通路	Pathway::PC7_3278
GAPDH	相关通路	Pathway::PC7_2500
GLS2	相关通路	Pathway::PC7_4216
SRC	相关通路	Pathway::PC7_7659
CAMKK2	相关通路	Pathway::WP1403_r79471
CA1	相关通路	Pathway::PC7_2170
PPP2R1A	相关通路	Pathway::PC7_5324
FKBP1A	相关通路	Pathway::WP1471_r82750
CAV1	相关通路	Pathway::WP437_r79266
DRD2	相关通路	Pathway::PC7_4043
MAP2K2	相关通路	Pathway::PC7_4779
RXRA	相关通路	Pathway::PC7_5322
POLE	相关通路	Pathway::PC7_4005
ABCA1	相关通路	Pathway::WP1533_r82707
LIMK1	相关通路	Pathway::PC7_3886
NFKB1	相关通路	Pathway::WP384_r67054
PRL	相关通路	Pathway::WP3297_r83780
FGFR1	相关通路	Pathway::WP2261_r81197
GABRA3	相关通路	Pathway::PC7_4791
PPARA	相关通路	Pathway::PC7_8798
PLA2G4A	相关通路	Pathway::PC7_12320
CDK2	相关通路	Pathway::PC7_6913
PIK3R1	相关通路	Pathway::WP127_r78498
CASP1	相关通路	Pathway::PC7_5995
KCNJ5	相关通路	Pathway::WP536_r80211
TUBB4A	相关通路	Pathway::PC7_2534
CD163	相关通路	Pathway::PC7_2095
PRKAR2B	相关通路	Pathway::PC7_7448
ABCA1	相关通路	Pathway::PC7_6910
RPS28	相关通路	Pathway::PC7_7357
B3GAT3	相关通路	Pathway::PC7_3278
MAPK3	相关通路	Pathway::PC7_7443
PIK3CG	相关通路	Pathway::PC7_4638
CCR5	相关通路	Pathway::PC7_2620
PPP2R1A	相关通路	Pathway::PC7_6050
BAD	相关通路	Pathway::WP2447_r84415
SLC1A4	相关通路	Pathway::PC7_1630
POLA1	相关通路	Pathway::PC7_2955
PSME3	相关通路	Pathway::PC7_2278
NGF	相关通路	Pathway::PC7_8430
PRKAG2	相关通路	Pathway::PC7_12079
TGFBR1	相关通路	Pathway::PC7_2081
GSK3B	相关通路	Pathway::PC7_2468
MAPK3	相关通路	Pathway::PC7_7042
ACAD8	相关通路	Pathway::PC7_2117
MAP2K4	相关通路	Pathway::PC7_8288
CACNB2	相关通路	Pathway::PC7_5697
PIK3CD	相关通路	Pathway::WP710_r79974
PSEN2	相关通路	Pathway::PC7_5835
GRIA3	相关通路	Pathway::WP666_r68893
ALDH4A1	相关通路	Pathway::PC7_6617
PRKCD	相关通路	Pathway::WP428_r79854
SRC	相关通路	Pathway::WP2526_r82681
RAF1	相关通路	Pathway::WP286_r78583
NGF	相关通路	Pathway::PC7_12283
RPS15	相关通路	Pathway::PC7_6393
ADRB2	相关通路	Pathway::PC7_1698
CDH5	相关通路	Pathway::PC7_7482
TNF	相关通路	Pathway::WP2059_r82906
CHUK	相关通路	Pathway::PC7_5559
IBSP	相关通路	Pathway::PC7_3777
MYC	相关通路	Pathway::PC7_6913
JAK1	相关通路	Pathway::PC7_7457
RB1	相关通路	Pathway::PC7_5983
ITPR2	相关通路	Pathway::PC7_7444
KAT5	相关通路	Pathway::PC7_6815
CTNNB1	相关通路	Pathway::PC7_12488
TGFB1	相关通路	Pathway::PC7_7718
CA1	相关通路	Pathway::PC7_6955
GSK3B	相关通路	Pathway::PC7_6149
STAT1	相关通路	Pathway::WP1984_r82941
RPL11	相关通路	Pathway::PC7_2469
MAP2K1	相关通路	Pathway::PC7_8291
IDH1	相关通路	Pathway::PC7_5326
GAA	相关通路	Pathway::PC7_5983
RPS27A	相关通路	Pathway::PC7_8291
NGF	相关通路	Pathway::PC7_5893
ADCY8	相关通路	Pathway::PC7_6180
CCR7	相关通路	Pathway::WP455_r81793
AKT1	相关通路	Pathway::PC7_1064
ADRB3	相关通路	Pathway::PC7_1624
VCL	相关通路	Pathway::PC7_7660
PDPK1	相关通路	Pathway::WP185_r80036
IKBKB	相关通路	Pathway::PC7_7786
CHRM1	相关通路	Pathway::WP51_r79977
RPS15	相关通路	Pathway::PC7_685
MAPK8	相关通路	Pathway::PC7_3884
FGFR2	相关通路	Pathway::PC7_3278
ERBB3	相关通路	Pathway::PC7_1877
CXCL1	相关通路	Pathway::PC7_6396
CTNNB1	相关通路	Pathway::PC7_11463
SMN1	相关通路	Pathway::PC7_4112
FGFR3	相关通路	Pathway::PC7_6461
UBB	相关通路	Pathway::PC7_5529
NRAS	相关通路	Pathway::PC7_3278
OLR1	相关通路	Pathway::PC7_2525
CDC25A	相关通路	Pathway::PC7_5529
PRKACA	相关通路	Pathway::PC7_8665
HSP90AA1	相关通路	Pathway::PC7_7489
KLK3	相关通路	Pathway::PC7_6876
HLA-DRA	相关通路	Pathway::PC7_6463
STAT3	相关通路	Pathway::PC7_3278
OXTR	相关通路	Pathway::PC7_2620
RPL15	相关通路	Pathway::PC7_8712
EGR1	相关通路	Pathway::PC7_1123
CNR1	相关通路	Pathway::PC7_2620
SNCA	相关通路	Pathway::WP2371_r84649
PRKAR2B	相关通路	Pathway::PC7_4438
NF1	相关通路	Pathway::WP382_r79951
RPS6KA3	相关通路	Pathway::WP477_r67139
SLCO1B3	相关通路	Pathway::PC7_8339
ITGA2B	相关通路	Pathway::PC7_4063
PTEN	相关通路	Pathway::PC7_7444
GJA1	相关通路	Pathway::WP2355_r79973
PIK3CA	相关通路	Pathway::PC7_8061
ABL1	相关通路	Pathway::PC7_4741
PIK3R1	相关通路	Pathway::PC7_6140
NCOA1	相关通路	Pathway::PC7_3664
GABRB3	相关通路	Pathway::PC7_4965
IL1A	相关通路	Pathway::WP2849_r84764
VIPR1	相关通路	Pathway::WP334_r79716
CD86	相关通路	Pathway::PC7_7788
PIK3R2	相关通路	Pathway::PC7_3324
NR1I3	相关通路	Pathway::PC7_5989
CAMK4	相关通路	Pathway::PC7_5887
KRAS	相关通路	Pathway::PC7_7462
ITGB1	相关通路	Pathway::PC7_1664
CHUK	相关通路	Pathway::PC7_2925
BDNF	相关通路	Pathway::PC7_6542
GRB2	相关通路	Pathway::PC7_3886
SYK	相关通路	Pathway::PC7_6919
PRKCA	相关通路	Pathway::WP3298_r84382
CALM1	相关通路	Pathway::PC7_6815
CASP7	相关通路	Pathway::PC7_7307
ITGB4	相关通路	Pathway::WP185_r80036
EP300	相关通路	Pathway::PC7_6786
APOC2	相关通路	Pathway::PC7_4335
CTNNB1	相关通路	Pathway::PC7_7795
CYP3A4	相关通路	Pathway::PC7_1581
HDAC8	相关通路	Pathway::WP3414_r82252
POLR2F	相关通路	Pathway::PC7_5966
GYG1	相关通路	Pathway::PC7_5322
JAK1	相关通路	Pathway::PC7_7460
JUN	相关通路	Pathway::PC7_3852
PRKCE	相关通路	Pathway::PC7_4613
SDHB	相关通路	Pathway::PC7_2610
GDNF	相关通路	Pathway::PC7_7499
JAK2	相关通路	Pathway::PC7_6141
KCNQ2	相关通路	Pathway::PC7_3084
CTTN	相关通路	Pathway::WP2272_r78594
BRAF	相关通路	Pathway::PC7_1163
GRB2	相关通路	Pathway::PC7_7460
RAF1	相关通路	Pathway::PC7_7447
CISH	相关通路	Pathway::WP1544_r84696
VEGFA	相关通路	Pathway::PC7_7269
PDHA1	相关通路	Pathway::PC7_6917
ENO2	相关通路	Pathway::WP534_r78585
PRKCE	相关通路	Pathway::PC7_6992
CCL5	相关通路	Pathway::WP2036_r84527
EDNRB	相关通路	Pathway::WP455_r81793
GNAS	相关通路	Pathway::WP35_r79952
SLC23A1	相关通路	Pathway::PC7_3017
CHUK	相关通路	Pathway::PC7_6149
APAF1	相关通路	Pathway::WP384_r67054
APOA1	相关通路	Pathway::PC7_6945
SLC2A1	相关通路	Pathway::PC7_3017
CCNA2	相关通路	Pathway::WP2377_r80437
TNF	相关通路	Pathway::WP2431_r84650
FOS	相关通路	Pathway::WP289_r81078
NTF3	相关通路	Pathway::PC7_12281
PTH1R	相关通路	Pathway::WP474_r80208
ITGB3	相关通路	Pathway::PC7_4758
IKBKB	相关通路	Pathway::PC7_5995
F2	相关通路	Pathway::PC7_4043
SMAD3	相关通路	Pathway::PC7_5025
HSP90AA1	相关通路	Pathway::WP2355_r79973
PECAM1	相关通路	Pathway::PC7_6512
ABL1	相关通路	Pathway::WP179_r70629
ACSL1	相关通路	Pathway::PC7_8424
PRKCD	相关通路	Pathway::PC7_6995
PRKCB	相关通路	Pathway::PC7_5985
RPS27A	相关通路	Pathway::PC7_2529
MAPK8	相关通路	Pathway::WP304_r78799
SLC7A8	相关通路	Pathway::PC7_7290
PTGIS	相关通路	Pathway::PC7_5326
PTEN	相关通路	Pathway::PC7_6958
PDPK1	相关通路	Pathway::PC7_3996
GRB2	相关通路	Pathway::PC7_3328
ITGB1	相关通路	Pathway::PC7_3649
BAK1	相关通路	Pathway::WP710_r79974
NFKBIA	相关通路	Pathway::PC7_8057
ICAM1	相关通路	Pathway::WP176_r82704
CCL11	相关通路	Pathway::PC7_2620
UBB	相关通路	Pathway::PC7_5530
RAC1	相关通路	Pathway::PC7_7249
CD3D	相关通路	Pathway::PC7_3324
TP53	相关通路	Pathway::PC7_4785
CCND1	相关通路	Pathway::WP2377_r80437
CCR3	相关通路	Pathway::WP24_r79999
MAP2K1	相关通路	Pathway::PC7_6141
MAPK10	相关通路	Pathway::WP710_r79974
NOS3	相关通路	Pathway::PC7_5782
IFNB1	相关通路	Pathway::PC7_4449
CACNA1A	相关通路	Pathway::PC7_6909
TP53	相关通路	Pathway::WP1772_r84701
RAF1	相关通路	Pathway::PC7_8431
MEF2A	相关通路	Pathway::PC7_4741
NOS2	相关通路	Pathway::PC7_1601
COL2A1	相关通路	Pathway::PC7_3777
YWHAB	相关通路	Pathway::PC7_7447
CACNA1D	相关通路	Pathway::WP536_r80211
CCL3	相关通路	Pathway::PC7_6396
DHFR	相关通路	Pathway::PC7_5322
KRAS	相关通路	Pathway::PC7_4741
APP	相关通路	Pathway::PC7_6512
NTRK1	相关通路	Pathway::PC7_7504
KRAS	相关通路	Pathway::WP3303_r83781
PSEN2	相关通路	Pathway::PC7_1863
MAPK3	相关通路	Pathway::WP382_r79951
CDC42	相关通路	Pathway::PC7_4783
GAPDH	相关通路	Pathway::WP706_r80056
IKBKG	相关通路	Pathway::WP288_r80026
CDK4	相关通路	Pathway::PC7_2519
KRAS	相关通路	Pathway::WP732_r80010
HMGCR	相关通路	Pathway::WP1471_r82750
CAV1	相关通路	Pathway::PC7_7439
FLNA	相关通路	Pathway::PC7_6514
SLC7A9	相关通路	Pathway::PC7_2035
CFD	相关通路	Pathway::PC7_2672
DUSP3	相关通路	Pathway::PC7_7439
HSP90AA1	相关通路	Pathway::PC7_3415
MUC1	相关通路	Pathway::PC7_5330
CDKN1A	相关通路	Pathway::PC7_2170
MAPK1	相关通路	Pathway::WP2355_r79973
FOS	相关通路	Pathway::PC7_3811
PSMB4	相关通路	Pathway::PC7_6875
MAOA	相关通路	Pathway::PC7_2633
POLR2F	相关通路	Pathway::PC7_3653
TP53	相关通路	Pathway::WP673_r80202
ABCA1	相关通路	Pathway::WP2011_r75253
VCAN	相关通路	Pathway::PC7_3077
ADAM9	相关通路	Pathway::PC7_3777
TSHR	相关通路	Pathway::WP1981_r70955
ITGA2B	相关通路	Pathway::PC7_3084
CCND1	相关通路	Pathway::PC7_7439
P2RY12	相关通路	Pathway::PC7_2620
ECHS1	相关通路	Pathway::PC7_2068
IL1A	相关通路	Pathway::PC7_7461
MT3	相关通路	Pathway::WP3529_r84285
MAP2K5	相关通路	Pathway::WP2261_r81197
HSPG2	相关通路	Pathway::PC7_3065
CD40	相关通路	Pathway::PC7_1563
EIF4EBP1	相关通路	Pathway::WP673_r80202
CDK4	相关通路	Pathway::PC7_7024
TFAM	相关通路	Pathway::PC7_8318
XRCC4	相关通路	Pathway::PC7_1203
SST	相关通路	Pathway::PC7_2620
TRAF1	相关通路	Pathway::WP2018_r79959
MAPK1	相关通路	Pathway::PC7_6569
PDGFRA	相关通路	Pathway::PC7_7444
DLG4	相关通路	Pathway::PC7_2333
CCK	相关通路	Pathway::PC7_7439
DRD1	相关通路	Pathway::PC7_7439
TGFB2	相关通路	Pathway::WP400_r72084
JUNB	相关通路	Pathway::PC7_4112
CALCR	相关通路	Pathway::PC7_7439
MBP	相关通路	Pathway::WP2276_r63194
NRP1	相关通路	Pathway::PC7_7249
PRKCA	相关通路	Pathway::PC7_4215
SMAD4	相关通路	Pathway::PC7_8677
IKBKG	相关通路	Pathway::PC7_1517
GADD45A	相关通路	Pathway::WP2431_r84650
CDK7	相关通路	Pathway::PC7_3968
RPSA	相关通路	Pathway::PC7_5327
TGFB3	相关通路	Pathway::PC7_3366
ABCB1	相关通路	Pathway::PC7_8339
ERBB3	相关通路	Pathway::WP1591_r84699
IKBKB	相关通路	Pathway::PC7_7788
JAK1	相关通路	Pathway::PC7_4000
ESR1	相关通路	Pathway::PC7_3855
SCN4A	相关通路	Pathway::PC7_1863
CYP19A1	相关通路	Pathway::WP702_r73516
CYP1B1	相关通路	Pathway::WP2873_r79696
TGFB1	相关通路	Pathway::PC7_1123
MAP2K7	相关通路	Pathway::PC7_3278
HLA-DRB1	相关通路	Pathway::WP2328_r84648
PAK1	相关通路	Pathway::PC7_1855
RPS6	相关通路	Pathway::WP2374_r73668
PIK3R1	相关通路	Pathway::WP2261_r81197
GRB2	相关通路	Pathway::PC7_7457
FNTA	相关通路	Pathway::PC7_1684
ALAS1	相关通路	Pathway::PC7_5322
CD40LG	相关通路	Pathway::PC7_4627
RASGRF2	相关通路	Pathway::PC7_3991
YWHAZ	相关通路	Pathway::PC7_11357
SMAD4	相关通路	Pathway::WP560_r83868
F2	相关通路	Pathway::PC7_6887
SLC22A12	相关通路	Pathway::PC7_7290
DHFR	相关通路	Pathway::PC7_5328
BMF	相关通路	Pathway::WP138_r79958
RAC1	相关通路	Pathway::WP2795_r78544
HK1	相关通路	Pathway::PC7_8339
GRIN2A	相关通路	Pathway::WP2059_r82906
STAT3	相关通路	Pathway::PC7_7439
MAX	相关通路	Pathway::PC7_6895
EPOR	相关通路	Pathway::WP581_r67199
HSP90AA1	相关通路	Pathway::PC7_4011
MYD88	相关通路	Pathway::PC7_7461
AKT1	相关通路	Pathway::PC7_5970
PSMB4	相关通路	Pathway::PC7_3326
DBI	相关通路	Pathway::WP1982_r79943
GPD2	相关通路	Pathway::PC7_5322
GRM5	相关通路	Pathway::PC7_7439
KCNK2	相关通路	Pathway::PC7_8074
NRAS	相关通路	Pathway::PC7_12268
NOS1	相关通路	Pathway::WP2059_r82906
TNF	相关通路	Pathway::WP727_r79969
CTSB	相关通路	Pathway::PC7_4688
LCK	相关通路	Pathway::PC7_7443
PIK3CD	相关通路	Pathway::PC7_4741
XIAP	相关通路	Pathway::PC7_2506
PRKCQ	相关通路	Pathway::PC7_3993
MAPK9	相关通路	Pathway::PC7_3699
PCNA	相关通路	Pathway::PC7_5188
YWHAB	相关通路	Pathway::PC7_7444
YWHAB	相关通路	Pathway::PC7_7475
KCNMB1	相关通路	Pathway::PC7_6543
PRKCA	相关通路	Pathway::PC7_7478
PIK3R2	相关通路	Pathway::PC7_2525
NCOA6	相关通路	Pathway::PC7_6899
GLUL	相关通路	Pathway::PC7_5322
PIK3R1	相关通路	Pathway::PC7_3325
CDKN1B	相关通路	Pathway::WP2572_r79947
AKT1	相关通路	Pathway::PC7_2698
SMAD2	相关通路	Pathway::PC7_5025
CDH1	相关通路	Pathway::WP1984_r82941
ITGAL	相关通路	Pathway::PC7_2525
SREBF1	相关通路	Pathway::PC7_2506
GRM5	相关通路	Pathway::WP666_r68893
NFKB1	相关通路	Pathway::PC7_4594
SFN	相关通路	Pathway::PC7_3277
FGF2	相关通路	Pathway::PC7_3825
IRF4	相关通路	Pathway::WP619_r71168
CALR	相关通路	Pathway::PC7_7394
IGFBP1	相关通路	Pathway::WP289_r81078
SLC18A2	相关通路	Pathway::PC7_1623
ESR1	相关通路	Pathway::PC7_4938
FKBP1A	相关通路	Pathway::PC7_5025
UROD	相关通路	Pathway::PC7_4443
MAP2K2	相关通路	Pathway::WP51_r79977
ARRB1	相关通路	Pathway::PC7_2630
FN1	相关通路	Pathway::PC7_7721
CYBB	相关通路	Pathway::PC7_7482
PRKCG	相关通路	Pathway::PC7_6108
CETP	相关通路	Pathway::WP3601_r84331
ELK1	相关通路	Pathway::PC7_3698
PRKCD	相关通路	Pathway::PC7_2925
NTRK1	相关通路	Pathway::PC7_7506
AQP2	相关通路	Pathway::PC7_1691
ACTR2	相关通路	Pathway::PC7_3886
ASNS	相关通路	Pathway::PC7_1629
FLNA	相关通路	Pathway::PC7_7787
IL2	相关通路	Pathway::PC7_4053
PIK3R1	相关通路	Pathway::PC7_7494
SYK	相关通路	Pathway::PC7_4053
UCP1	相关通路	Pathway::PC7_5514
UGT1A1	相关通路	Pathway::WP698_r79224
AKR1B1	相关通路	Pathway::WP690_r72132
WASF1	相关通路	Pathway::PC7_6896
HSP90AB1	相关通路	Pathway::PC7_5995
ASCL1	相关通路	Pathway::PC7_5983
ACTB	相关通路	Pathway::PC7_3886
KDR	相关通路	Pathway::WP2406_r73324
PLG	相关通路	Pathway::PC7_3065
PRLR	相关通路	Pathway::PC7_7446
STS	相关通路	Pathway::PC7_6540
CYP11A1	相关通路	Pathway::PC7_5332
RAD51	相关通路	Pathway::PC7_1213
PRKCB	相关通路	Pathway::PC7_3282
SRC	相关通路	Pathway::WP313_r79946
FGFR3	相关通路	Pathway::PC7_3826
CDC25C	相关通路	Pathway::PC7_2831
GSTM2	相关通路	Pathway::WP100_r74146
ABCG2	相关通路	Pathway::PC7_4806
CCNA2	相关通路	Pathway::PC7_2829
MAPK3	相关通路	Pathway::WP2261_r81197
MAX	相关通路	Pathway::WP23_r79985
IFNA1	相关通路	Pathway::PC7_8055
MAPK1	相关通路	Pathway::WP481_r82731
CTLA4	相关通路	Pathway::PC7_1563
STAT1	相关通路	Pathway::WP2374_r73668
RPL10	相关通路	Pathway::PC7_8331
IRS1	相关通路	Pathway::PC7_6157
BIRC5	相关通路	Pathway::WP254_r84652
BRCA1	相关通路	Pathway::PC7_8675
TP53	相关通路	Pathway::WP2828_r79529
CCNB1	相关通路	Pathway::PC7_1128
HDAC1	相关通路	Pathway::PC7_6797
HLA-DQB1	相关通路	Pathway::PC7_7786
RPL15	相关通路	Pathway::PC7_5972
MAP2K2	相关通路	Pathway::PC7_1863
MBTPS2	相关通路	Pathway::PC7_1190
THBS1	相关通路	Pathway::PC7_5968
RAF1	相关通路	Pathway::PC7_3884
CDK4	相关通路	Pathway::WP1530_r84694
ADCY2	相关通路	Pathway::PC7_4741
GSTP1	相关通路	Pathway::WP410_r84683
BCHE	相关通路	Pathway::PC7_8340
SLC1A3	相关通路	Pathway::PC7_7290
CASP9	相关通路	Pathway::WP2377_r80437
EIF2AK2	相关通路	Pathway::PC7_2535
KIT	相关通路	Pathway::PC7_2925
ADRA2A	相关通路	Pathway::PC7_7439
CCNE1	相关通路	Pathway::WP2032_r79960
UBB	相关通路	Pathway::PC7_2265
APOA1	相关通路	Pathway::PC7_6512
CDKN1B	相关通路	Pathway::PC7_2170
GNAS	相关通路	Pathway::WP2355_r79973
YWHAZ	相关通路	Pathway::PC7_2907
PLK1	相关通路	Pathway::WP231_r81070
FYN	相关通路	Pathway::WP304_r78799
PSIP1	相关通路	Pathway::PC7_3278
RPS27A	相关通路	Pathway::PC7_2124
ADAM10	相关通路	Pathway::PC7_3278
BCL2	相关通路	Pathway::PC7_1524
AKT1	相关通路	Pathway::PC7_6895
CREBBP	相关通路	Pathway::PC7_5515
PTEN	相关通路	Pathway::PC7_1987
GYG1	相关通路	Pathway::PC7_4207
LDLR	相关通路	Pathway::PC7_4921
PIK3CA	相关通路	Pathway::PC7_5867
KAT5	相关通路	Pathway::PC7_7784
RPS27A	相关通路	Pathway::PC7_7483
IL6ST	相关通路	Pathway::PC7_4662
WT1	相关通路	Pathway::PC7_12279
SH2B3	相关通路	Pathway::PC7_6888
PPARD	相关通路	Pathway::PC7_6569
CDKN1A	相关通路	Pathway::PC7_3325
SRC	相关通路	Pathway::PC7_1598
PPP2R1A	相关通路	Pathway::PC7_8291
PSMB4	相关通路	Pathway::PC7_4112
FKBP1A	相关通路	Pathway::PC7_7796
NFKB1	相关通路	Pathway::PC7_3424
CALCA	相关通路	Pathway::PC7_2621
LIMK1	相关通路	Pathway::WP524_r72112
PHGDH	相关通路	Pathway::PC7_1629
MYB	相关通路	Pathway::PC7_4611
HADHA	相关通路	Pathway::PC7_1556
KLF7	相关通路	Pathway::WP236_r80209
NR1H3	相关通路	Pathway::WP3594_r84573
HDAC1	相关通路	Pathway::PC7_7465
PDE4D	相关通路	Pathway::PC7_3994
ITPR1	相关通路	Pathway::PC7_7447
