药物	关系	疾病
DB00175	潜在联系	Pancreatitis
DB00175	潜在联系	Asthma, Exercise-Induced
DB00175	潜在联系	Acute Intermittent Porphyria
DB00175	潜在联系	Osteogenic Sarcoma
DB00175	潜在联系	Carcinoma, Endometrioid
DB00175	潜在联系	Chronic Myeloid Leukemia
DB00175	潜在联系	Colonic Neoplasms
DB00175	潜在联系	Takayasu Arteritis
DB00175	潜在联系	Familial Alzheimer Disease (Fad)
DB00175	潜在联系	Squamous Cell Carcinoma
DB00175	潜在联系	Wilson Disease
DB00175	潜在联系	Lymphangioleiomyomatosis
DB00175	潜在联系	Gingivitis
DB00175	潜在联系	Colorectal Neoplasms
DB00175	潜在联系	Liver Carcinoma
DB00175	潜在联系	Inflammatory Bowel Diseases
DB00175	潜在联系	Methemoglobinemia
DB00175	潜在联系	Lysosomal Acid Lipase Deficiency
DB00176	潜在联系	Diabetes Mellitus
DB00176	潜在联系	Carcinoma, Endometrioid
DB00180	潜在联系	Cystic Fibrosis
DB00215	潜在联系	Cerebrovascular Accident
DB00215	潜在联系	Cardiomyopathies
DB00215	潜在联系	Osteogenic Sarcoma
DB00215	潜在联系	Takayasu Arteritis
DB00215	潜在联系	Familial Alzheimer Disease (Fad)
DB00222	潜在联系	Diabetes Mellitus, Insulin-Dependent
DB00222	潜在联系	Depressive Disorder
DB00222	潜在联系	Colorectal Neoplasms
DB00222	潜在联系	Inflammatory Bowel Diseases
DB00273	潜在联系	Alcoholic Intoxication, Chronic
DB00273	潜在联系	Gingivitis
DB00275	潜在联系	Cystic Fibrosis
DB00285	潜在联系	Diabetes Mellitus, Insulin-Dependent
DB00288	潜在联系	Esophageal Neoplasms
DB00288	潜在联系	Congenital Heart Defects
DB00288	潜在联系	Hereditary Coproporphyria
DB00291	潜在联系	Prostate Cancer
DB00315	潜在联系	Muckle-Wells Syndrome
DB00315	潜在联系	Lymphangioleiomyomatosis
DB00332	潜在联系	Myocardial Infarction
DB00332	潜在联系	Mental Depression
DB00334	潜在联系	Congestive Heart Failure
DB00334	潜在联系	Myocardial Infarction
DB00339	潜在联系	Congestive Heart Failure
DB00339	潜在联系	Coronary Artery Disease
DB00339	潜在联系	Osteoporosis, Postmenopausal
DB00339	潜在联系	Osteogenic Sarcoma
DB00339	潜在联系	Familial Alzheimer Disease (Fad)
DB00339	潜在联系	Congenital Heart Defects
DB00364	潜在联系	Muckle-Wells Syndrome
DB00364	潜在联系	Wiskott-Aldrich Syndrome
DB00364	潜在联系	Follicular Lymphoma
DB00364	潜在联系	Familial Dysautonomia
DB00364	潜在联系	Migraine Disorders
DB00364	潜在联系	Coronary Artery Disease
DB00364	潜在联系	Major Depressive Disorder
DB00364	潜在联系	Thyrotoxicosis
DB00364	潜在联系	Osteoporosis, Postmenopausal
DB00364	潜在联系	Depressive Disorder
DB00364	潜在联系	Asthma, Exercise-Induced
DB00364	潜在联系	Acute Intermittent Porphyria
DB00364	潜在联系	Osteogenic Sarcoma
DB00364	潜在联系	Carcinoma, Endometrioid
DB00364	潜在联系	Colonic Neoplasms
DB00364	潜在联系	Familial Alzheimer Disease (Fad)
DB00364	潜在联系	Squamous Cell Carcinoma
DB00364	潜在联系	Wilson Disease
DB00364	潜在联系	Lymphangioleiomyomatosis
DB00364	潜在联系	Colorectal Neoplasms
DB00364	潜在联系	Methemoglobinemia
DB00380	潜在联系	Malignant Neoplasm Of Breast
DB00380	潜在联系	Congestive Heart Failure
DB00381	潜在联系	Malignant Neoplasm Of Breast
DB00394	潜在联系	Diabetes Mellitus
DB00394	潜在联系	Cerebrovascular Accident
DB00394	潜在联系	Chronic Obstructive Airway Disease
DB00394	潜在联系	Colorectal Neoplasms
DB00394	潜在联系	Sickle Cell Anemia
DB00394	潜在联系	Intellectual Disability
DB00394	潜在联系	Lysosomal Acid Lipase Deficiency
DB00424	潜在联系	Wiskott-Aldrich Syndrome
DB00424	潜在联系	Diabetes Mellitus, Insulin-Dependent
DB00424	潜在联系	Familial Dysautonomia
DB00424	潜在联系	Coronary Artery Disease
DB00424	潜在联系	Cardiomyopathies
DB00424	潜在联系	Asthma, Exercise-Induced
DB00424	潜在联系	Familial Alzheimer Disease (Fad)
DB00424	潜在联系	Liver Carcinoma
DB00424	潜在联系	Hereditary Coproporphyria
DB00424	潜在联系	Methemoglobinemia
DB00434	潜在联系	Cardiomyopathies
DB00443	潜在联系	Fabry Disease
DB00443	潜在联系	Polycythemia Vera
DB00457	潜在联系	Malignant Neoplasm Of Breast
DB00457	潜在联系	Carcinoma, Endometrioid
DB00479	潜在联系	Familial Dysautonomia
DB00479	潜在联系	Chronic Obstructive Airway Disease
DB00479	潜在联系	Esophageal Neoplasms
DB00479	潜在联系	Polycythemia Vera
DB00501	潜在联系	Hypertensive Disease
DB00501	潜在联系	Inflammation
DB00501	潜在联系	Liver Carcinoma
DB00501	潜在联系	Sickle Cell Anemia
DB00544	潜在联系	Sinusitis
DB00549	潜在联系	Carcinoma, Endometrioid
DB00594	潜在联系	Polycythemia Vera
DB00609	潜在联系	Myocardial Infarction
DB00609	潜在联系	Polycythemia Vera
DB00612	潜在联系	Diabetes Mellitus, Insulin-Dependent
DB00615	潜在联系	Congestive Heart Failure
DB00615	潜在联系	Cerebrovascular Accident
DB00615	潜在联系	Gastric Ulcer
DB00696	潜在联系	Mental Depression
DB00696	潜在联系	Depressive Disorder
DB00722	潜在联系	Myocardial Infarction
DB00766	潜在联系	Muckle-Wells Syndrome
DB00766	潜在联系	Wiskott-Aldrich Syndrome
DB00766	潜在联系	Follicular Lymphoma
DB00766	潜在联系	Prostate Cancer
DB00766	潜在联系	Migraine Disorders
DB00766	潜在联系	Coronary Artery Disease
DB00766	潜在联系	Cerebrovascular Accident
DB00766	潜在联系	Major Depressive Disorder
DB00766	潜在联系	Hypertensive Disease
DB00766	潜在联系	Alcoholic Intoxication, Chronic
DB00766	潜在联系	Inflammation
DB00766	潜在联系	Thyrotoxicosis
DB00766	潜在联系	Esophageal Neoplasms
DB00766	潜在联系	Osteoporosis, Postmenopausal
DB00766	潜在联系	Depressive Disorder
DB00766	潜在联系	Cardiomyopathies
DB00766	潜在联系	Pancreatitis
DB00766	潜在联系	Asthma, Exercise-Induced
DB00766	潜在联系	Chronic Myeloid Leukemia
DB00766	潜在联系	Colonic Neoplasms
DB00766	潜在联系	Takayasu Arteritis
DB00766	潜在联系	Familial Alzheimer Disease (Fad)
DB00766	潜在联系	Wilson Disease
DB00766	潜在联系	Gingivitis
DB00766	潜在联系	Congenital Heart Defects
DB00766	潜在联系	Liver Carcinoma
DB00766	潜在联系	Sickle Cell Anemia
DB00766	潜在联系	Hereditary Coproporphyria
DB00766	潜在联系	Inflammatory Bowel Diseases
DB00766	潜在联系	Lysosomal Acid Lipase Deficiency
DB00788	潜在联系	Muckle-Wells Syndrome
DB00788	潜在联系	Fabry Disease
DB00788	潜在联系	Myocardial Infarction
DB00788	潜在联系	Mental Depression
DB00841	潜在联系	Congestive Heart Failure
DB00841	潜在联系	Wiskott-Aldrich Syndrome
DB00841	潜在联系	Mental Depression
DB00841	潜在联系	Congenital Heart Defects
DB00841	潜在联系	Intellectual Disability
DB00855	潜在联系	Congestive Heart Failure
DB00855	潜在联系	Osteogenic Sarcoma
DB00855	潜在联系	Lymphangioleiomyomatosis
DB00855	潜在联系	Lysosomal Acid Lipase Deficiency
DB00876	潜在联系	Malignant Neoplasm Of Breast
DB00918	潜在联系	Cystic Fibrosis
DB00918	潜在联系	Prostate Cancer
DB00918	潜在联系	Myocardial Infarction
DB00951	潜在联系	Cerebrovascular Accident
DB00966	潜在联系	Follicular Lymphoma
DB00966	潜在联系	Myocardial Infarction
DB00966	潜在联系	Mental Depression
DB00966	潜在联系	Depressive Disorder
DB00966	潜在联系	Wilson Disease
DB00966	潜在联系	Methemoglobinemia
DB00999	潜在联系	Malignant Neoplasm Of Breast
DB00999	潜在联系	Congestive Heart Failure
DB01005	潜在联系	Familial Dysautonomia
DB01005	潜在联系	Inflammation
DB01005	潜在联系	Chronic Obstructive Airway Disease
DB01005	潜在联系	Osteoporosis, Postmenopausal
DB01005	潜在联系	Asthma, Exercise-Induced
DB01005	潜在联系	Acute Intermittent Porphyria
DB01005	潜在联系	Chronic Myeloid Leukemia
DB01005	潜在联系	Takayasu Arteritis
DB01005	潜在联系	Squamous Cell Carcinoma
DB01005	潜在联系	Gingivitis
DB01005	潜在联系	Polycythemia Vera
DB01005	潜在联系	Congenital Heart Defects
DB01005	潜在联系	Intellectual Disability
DB01018	潜在联系	Migraine Disorders
DB01043	潜在联系	Diabetes Mellitus, Insulin-Dependent
DB01043	潜在联系	Kidney Diseases
DB01049	潜在联系	Kidney Diseases
DB01098	潜在联系	Wiskott-Aldrich Syndrome
DB01171	潜在联系	Coronary Artery Disease
DB01171	潜在联系	Hypertensive Disease
DB01171	潜在联系	Alcoholic Intoxication, Chronic
DB01171	潜在联系	Thyrotoxicosis
DB01171	潜在联系	Depressive Disorder
DB01171	潜在联系	Pancreatitis
DB01171	潜在联系	Acute Intermittent Porphyria
DB01171	潜在联系	Osteogenic Sarcoma
DB01171	潜在联系	Methemoglobinemia
DB01223	潜在联系	Malignant Neoplasm Of Breast
DB01223	潜在联系	Hypertensive Disease
DB01223	潜在联系	Inflammation
DB01223	潜在联系	Esophageal Neoplasms
DB01223	潜在联系	Pancreatitis
DB01223	潜在联系	Lymphangioleiomyomatosis
DB01224	潜在联系	Cystic Fibrosis
DB01238	潜在联系	Inflammatory Bowel Diseases
DB03404	潜在联系	Cystic Fibrosis
DB03404	潜在联系	Prostate Cancer
DB03404	潜在联系	Kidney Diseases
DB03852	潜在联系	Takayasu Arteritis
DB06153	潜在联系	Diabetes Mellitus, Insulin-Dependent
DB06153	潜在联系	Kidney Diseases
DB06404	潜在联系	Wiskott-Aldrich Syndrome
DB06404	潜在联系	Diabetes Mellitus
DB06404	潜在联系	Follicular Lymphoma
DB06404	潜在联系	Coronary Artery Disease
DB06404	潜在联系	Cerebrovascular Accident
DB06404	潜在联系	Sinusitis
DB06404	潜在联系	Inflammation
DB06404	潜在联系	Depressive Disorder
DB06404	潜在联系	Pancreatitis
DB06404	潜在联系	Asthma, Exercise-Induced
DB06404	潜在联系	Osteogenic Sarcoma
DB06404	潜在联系	Carcinoma, Endometrioid
DB06404	潜在联系	Chronic Myeloid Leukemia
DB06404	潜在联系	Familial Alzheimer Disease (Fad)
DB06404	潜在联系	Squamous Cell Carcinoma
DB06404	潜在联系	Wilson Disease
DB06404	潜在联系	Lymphangioleiomyomatosis
DB06404	潜在联系	Congenital Heart Defects
DB06404	潜在联系	Colorectal Neoplasms
DB06404	潜在联系	Sickle Cell Anemia
DB06404	潜在联系	Intellectual Disability
DB06404	潜在联系	Methemoglobinemia
DB06404	潜在联系	Lysosomal Acid Lipase Deficiency
DB08813	潜在联系	Muckle-Wells Syndrome
DB08813	潜在联系	Migraine Disorders
DB08813	潜在联系	Hypertensive Disease
DB08813	潜在联系	Gastric Ulcer
DB08813	潜在联系	Esophageal Neoplasms
DB08813	潜在联系	Osteoporosis, Postmenopausal
DB08813	潜在联系	Pancreatitis
DB08813	潜在联系	Takayasu Arteritis
DB08813	潜在联系	Squamous Cell Carcinoma
DB08813	潜在联系	Gingivitis
DB08813	潜在联系	Congenital Heart Defects
DB08813	潜在联系	Sickle Cell Anemia
DB08813	潜在联系	Intellectual Disability
DB08918	潜在联系	Cystic Fibrosis
DB08918	潜在联系	Prostate Cancer
DB08938	潜在联系	Familial Dysautonomia
DB08938	潜在联系	Coronary Artery Disease
DB08938	潜在联系	Alcoholic Intoxication, Chronic
DB08938	潜在联系	Thyrotoxicosis
DB08938	潜在联系	Takayasu Arteritis
DB08938	潜在联系	Congenital Heart Defects
DB08938	潜在联系	Sickle Cell Anemia
DB08938	潜在联系	Inflammatory Bowel Diseases
DB09107	潜在联系	Kidney Diseases
DB09148	潜在联系	Cystic Fibrosis
DB09148	潜在联系	Kidney Diseases
DB09265	潜在联系	Cystic Fibrosis
DB09265	潜在联系	Kidney Diseases
DB12532	潜在联系	Kidney Diseases
DB13928	潜在联系	Lymphangioleiomyomatosis
