154447-36-6	DB02656
7-hydroxy-4',6-dimethoxyisoflavone	CHEMBL464404
Sanjoinine E	CHEMBL464529
Hispaglabridin B	CHEMBL464582
Oroxindin	CHEMBL464732
O-methylbulbocapnine	CHEMBL464955
Izalpinin	CHEMBL464966
Pinusolidic acid	CHEMBL465159
Norisocorydine	CHEMBL465212
oplodiol	CHEMBL465432
5,2'-dihydroxy-6,7,8,6'-tetramethoxy flavone	CHEMBL465561
7,3'-dihydroxy-8,4'-dimethoxyisoflavone	CHEMBL465572
Atalantoflavone	CHEMBL465808
Asimilobine	CHEMBL469423
Bavachin	CHEMBL469444
2,6-Dihydroxy-1,5,7-trimethoxyphenanthrene	CHEMBL469491
2',4',5-trihydroxy-7-methoxyisoflavone	CHEMBL469630
3',7-Dihydroxy-4',6-dimethoxyisoflavone	CHEMBL469824
Huperzinine	CHEMBL470349
demethoxyegonol	CHEMBL470982
machilin G	CHEMBL471177
clusin	CHEMBL476708
7-hydroxy-8,4'-dimethoxyisoflavone	CHEMBL477720
Islandicin 4-methyl ether	CHEMBL478711
(-)-Dicentrine	CHEMBL478754
4-ketopinoresinol	CHEMBL479035
3,5,3'-Trihydroxybibenzyl	CHEMBL479325
5-hydroxy-3,3',4',7,8-pentamethoxyflavone	CHEMBL479326
5-hydroxy-2-(2-phenylethyl)chromone	CHEMBL479683
(-)-Clusin	CHEMBL479701
Schizandrin A	CHEMBL479898
Paulownin	CHEMBL479911
Epiaschantin	CHEMBL480876
Crychine	CHEMBL481839
colchinine	CHEMBL482108
(8R,8'R,9'S)-5-Methoxyclusin	CHEMBL482233
3',5-Dihydroxy-4',7-dimethoxyflavone	CHEMBL483424
Naringenin trimethyl ether	CHEMBL483550
saucerneol I	CHEMBL483652
Remerin	CHEMBL483825
Roemerine	CHEMBL483825
Tripterifordin	CHEMBL484043
4',5-Dihydroxyflavone	CHEMBL484662
Carnosic acid	CHEMBL484853
Neokadsuranin	CHEMBL485477
5,7-Dihydroxy-2-propylchromone	CHEMBL485814
Pseudoprotopine	CHEMBL486179
5,7-Dihydroxy-3',4',5'-trimethoxyflavon	CHEMBL486590
gibberodione	CHEMBL486794
Rauniticine	CHEMBL486933
Vitedoamine A	CHEMBL487008
L-tetrahydropalmatine	CHEMBL487182
laurolistine	CHEMBL487388
Dehydroxycubebin	CHEMBL487394
5,3'-Dihydroxy-6,7,4'-trimethoxyflavone	CHEMBL487402
jaceosidin	CHEMBL487601
epipinoresinol	CHEMBL487611
1,7-diphenyl-5-hydroxy-3-heptanone	CHEMBL488124
2,6-Dimethoxy benzoic acid	CHEMBL488609
3,5 dimethoxybenzoic acid	CHEMBL488610
5,7,2'-trihydroxy-6,8-dimethoxyflavone	CHEMBL488994
7-Hydroxy-2-methyl isoflavone	CHEMBL489340
Corydine	CHEMBL489524
Schisanhenol	CHEMBL490125
dihydrochalcone	CHEMBL490512
l-canadine	CHEMBL490533
Isobavachin	CHEMBL491534
7-O-Methylaromadendrin	CHEMBL491541
Thalifendine	CHEMBL491544
Benzyl 2,6-dimethoxybenzoate	CHEMBL491794
Methyl-4-O-methylgallate	CHEMBL491990
Stephanthrine	CHEMBL492418
Isoxanthohumol	CHEMBL492828
Gancaonin G	CHEMBL494253
2',4'-Dihydroxy-4,6'-dimethoxychalcone	CHEMBL494264
5,7-dihydroxy-6,8-dimethoxyflavone	CHEMBL495722
magnoflorine chloride	CHEMBL496685
COPTISINE CHLORIDE	CHEMBL498722
3,4,5-Trimethoxycinnamic acid	CHEMBL501235
Jatamansinol	CHEMBL503137
Aphanamol II	CHEMBL504100
5,7-dihydroxy-6,8,3',4'-tetramethoxyflavone	CHEMBL504325
1-Methyl-L-tryptophan	CHEMBL504816
Licoflavanone A	CHEMBL506929
2-Hydroxy-4-methoxybenzoic acid	CHEMBL507095
velutin	CHEMBL508292
Caruilignan C	CHEMBL508457
3,5-dimethoxy-2,7-phenanthrenediol	CHEMBL509668
stemofuran B	CHEMBL511197
3,3'-Dimethylquercetin	CHEMBL511363
1,7-Dihydroxy-2,3,8-trimethoxy-6-methylanthracene-9,10-dione	CHEMBL511524
obtusin	CHEMBL511524
Hernovine	CHEMBL512052
sauristolactam	CHEMBL512443
Acanthoic acid	CHEMBL512490
4',7-dihydroxy-6-methoxyisoflavone	CHEMBL513024
axinysone D	CHEMBL513107
sandaracopimaric acid	CHEMBL513197
sucutinirane A	CHEMBL514119
(-)-Phanostenine	CHEMBL515639
Acerogenin A	CHEMBL516665
Launobine	CHEMBL516862
Obaculactone	CHEMBL517449
Vitexilactone	CHEMBL517619
Erysovine	CHEMBL517778
Andrograpanin	CHEMBL518137
Erythraline	CHEMBL518262
lariciresinol	CHEMBL518421
Binankadsurin A	CHEMBL518555
Bisnorargemonine	CHEMBL518908
Magnolin	CHEMBL519926
5,6,7,4'-tetramethoxyflavanone	CHEMBL520193
Piperamine	CHEMBL520400
Teucvin	CHEMBL521585
4'-methylpenduletin	CHEMBL521934
Epigomisin O	CHEMBL521975
Gomisin O	CHEMBL522973
2'-Hydroxy-4,4',6'-trimethoxydihydrochalcone	CHEMBL523190
Eudesmin	CHEMBL523743
EUDESMINE	CHEMBL523743
kaurenoic acid	CHEMBL523791
5-Hydroxy-6,7-dimethoxyflavone	CHEMBL52676
8-hydroxycannabinol	CHEMBL550897
meso-monomethyldihydroguaiaretic acid	CHEMBL551810
4',5,7,8-Tetramethoxyflavone	CHEMBL556454
ailanthamide	CHEMBL556469
(-)-Machilusin	CHEMBL559937
(-)-Galbelgin	CHEMBL56917
(+)-Galbelgin	CHEMBL56917
PIPERONYLIC ACID	CHEMBL573781
Przewaquinone A	CHEMBL578036
Norpluviine	CHEMBL584172
5-Methoxy-N-methyltryptamine	CHEMBL58579
shinpterocarpin	CHEMBL591773
Corypalline	CHEMBL593001
(5R)-5-hydroxy-1,7-diphenylheptan-3-one	CHEMBL594066
(4E)-7-(4-hydroxy-3-methoxyphenyl)-1-phenylhept-4-en-3-one	CHEMBL594765
(5R)-5-hydroxy-7-(4-hydroxy-3-methoxyphenyl)-1-phenylheptan-3-one	CHEMBL595314
5,7-dimethoxy-8-hydroxycoumarin	CHEMBL595334
5,7,8-Trimethoxycoumarin	CHEMBL596221
2-(4-methoxyphenyl)-7-methyl-chromone	CHEMBL598311
Glabrone	CHEMBL600457
Stephanine	CHEMBL601020
Alstonerine	CHEMBL606749
5,6,7-Trimethoxycoumarin	CHEMBL607537
6-hydroxy-5,7-dimethoxycoumarin	CHEMBL611349
Anthricin	CHEMBL63970
5,7-Dihydroxyflavanone	CHEMBL70518
N,N-Dimethyl-5-methoxy tryptamine	CHEMBL7257
2,3,4,7-tetramethoxyphenanthrene	CHEMBL73252
4'-Hydroxy-5,6,7-trimethoxyflavone	CHEMBL74490
4',7-dimethoxy-3,3',5-trihydroxyflavone	CHEMBL75589
Kampferol-3,4'-dimethyl ether	CHEMBL76426
5-hydroxy-3,3',4',7-tetramethoxyflavone	CHEMBL77966
Rosiglitazone maleate	CHEMBL843
3-hydroxy-4,5-dimethoxybenzoic acid	CHEMBL85234
N-Formyl-N-deacetylcolchicine	CHEMBL85710
5,7-dihydroxy-2-(3-hydroxy-4-methoxyphenyl)chroman-4-one	CHEMBL88169
3-Hydroxy-4-methoxy benzoic acid	CHEMBL88700
4-methoxyhonokiol	CHEMBL89700
4'-Demethyldeoxypodophyllotoxin	CHEMBL89905
N-phenyl phthalimide	CHEMBL9020
Diosmetin	CHEMBL90568
2-Methoxycinnamic Acid	CHEMBL95203
trans-2-methoxycinnamic acid	CHEMBL95203
Xenognosin A	Compound0001
Taiwaniaquinone G	Compound0002
Berlambine	Compound0003
Cumic acid	Compound0004
(-)-N-formylanonaine	Compound0005
N-Formylanonaine	Compound0006
xanthoplanine	Compound0007
candicine	Compound0008
magnocurarine	Compound0009
VERATRIC ACID	Compound0010
isosalsoline	Compound0011
Saxagliptin hydrochloride	Compound0012
7-O-methyldihydrowogonin	Compound0013
Dextromethorphan hydrobromide monohydrate	Compound0014
1-(4-hydroxy-3-methoxyphenyl)-7-(4-hydroxyphenyl)-(4E)-4-hepten-3-one	Compound0015
(+)-Bicuculline	Compound0016
DL-Laudanine	Compound0017
  -Toxicarol	Compound0018
DIHYDROOROXYLIN	Compound0019
beta-Toxicarol	Compound0020
homovanillic acid	Compound0021
glyasperin D	Compound0022
7-Methoxy-4'-hydroxyflavone	Compound0023
Deacetylmatricarin	Compound0024
Glyasperin C	Compound0025
pioglitazone hydrochloride	Compound0026
Daphneolone	Compound0027
1-Methoxyphaseollidin	Compound0028
voacangine	Compound0029
dl-tetrahydropalmatine	Compound0030
cyclo(Phe-Tyr)	Compound0031
trans-isoeugenol	Compound0032
govadine	Compound0033
(-)-sesamin	Compound0034
isoflavanone	Compound0035
feruloyl tyramine	Compound0036
Acanthokoreoic acid A	Compound0037
Fadolmidine hydrochloride	Compound0038
lucidone A	Compound0039
Persicogenin	Compound0040
Toddalolactone	Compound0041
Isoamyl benzoate	Compound0042
5-hydroxy-6,7,8,4'-tetramethoxyflavone	Compound0043
Sibiriquinone B	Compound0044
Dihydrotanshinone I	Compound0045
boldine dimethyl ether	Compound0046
Sigmoidin C	Compound0047
Nandinine	Compound0048
Magnesium valproate	Compound0049
D-tetrahydropalmatine	Compound0050
Cinchonamine	Compound0051
alismoxide	Compound0052
12-alpha-Hydroxyrotenone	Compound0053
4-Epidehydroabietic acid	Compound0054
d-Sesamin	Compound0055
2'-hydroxyformononetin	Compound0056
Anwuligan	Compound0057
D-Coclaurine	Compound0058
4-(3,7-Dimethyl-3-vinylocta-1,6-dien-1-yl)phenol	Compound0059
7,3',4'-Trimethoxyisoflavone	Compound0060
2,6-Di-tert-butylphenol	Compound0061
5-methoxypodophyllotoxin	Compound0062
3-HYDROXYFLAVONE	Compound0063
Oxyphyllenodiol A	Compound0064
Ermanin	Compound0065
6-Methoxysalicylic acid	Compound0066
8-Prenyldaidzein	Compound0067
Tetrahydromagnolol	Compound0068
Tanshindiol B	Compound0069
Tanshindiol C	Compound0070
Asarone	Compound0071
indirubin	Compound0072
3,4,5-trimethoxybenzoic acid	Compound0073
Derrone	Compound0074
Ilicic acid	Compound0075
1,8-dihydroxy-3-methoxy-6-methylanthracene-9,10-dione	Compound0076
4-(4-ethylphenyl)benzoic acid	Compound0077
methylephedrine	Compound0078
L-Tetrandrine	Compound0079
Oxypeucedanin hydrate	Compound0080
Pongapinone B	Compound0081
anthraquinone-2-carboxylic acid	Compound0082
(-)-alismoxide	Compound0083
(2S)-Abyssinone II	Compound0084
(2S)-Euchrenone A7	Compound0085
norbracteoline	Compound0086
2,2'-Methylenebis(6-tert-butyl-4-methylphenol)	Compound0087
Hippuric acid	Compound0088
Acerogenin B	Compound0089
Tupichinol C	Compound0090
4'-Hydroxy-5,6-dehydrokawain	Compound0091
Broussonin E	Compound0092
NEOBAICALEIN	Compound0093
Broussonin F	Compound0094
corylifolin	Compound0095
egonol	Compound0096
5,7-Dimethoxycoumarin	Compound0097
Chrysosplenol G	Compound0098
Chrysosplenol E	Compound0099
poriol	Compound0100
Atractylenolide II	Compound0101
5-Hydroxy-6,7,3',4',5'-pentamethoxyflavone	Compound0102
6,7-dihydroxy-2-methoxy-1,4-phenanthrenedione	Compound0103
iristectorigenin	Compound0104
L-SPD	Compound0105
Stepholidine	Compound0106
(S)-Canadine	Compound0107
5,7,2'-Trihydroxy-6-methoxyflavone	Compound0108
3,4,5-Trimethoxy cinnamic acid	Compound0109
Annosquamosin D	Compound0110
Adlumine	Compound0111
3,3'-Dimethoxyquercetin	Compound0112
N-methylcoclaurine	Compound0113
Cryptopimaric acid	Compound0114
3-O-methylgigantol	Compound0115
Tsugafolin	Compound0116
chushizisin G	Compound0117
Epiquinidine	Compound0118
Gomisin H	Compound0119
shinflavanone	Compound0120
15alpha-Hydroxy-ent-kaur-16-en-19-oic acid	Compound0121
Quercetin tetramethyl(3',4',5,7) ether	Compound0122
5-hydroxy-3',4',6,7,8-pentamethoxyflavone	Compound0123
5,7-dihydroxy-6,4'-dimethoxyflavone	Compound0124
Eupatoretin	Compound0125
m-Methoxycinnamic acid	Compound0126
beta-Peltatin	Compound0127
4'-methoxy flavone	Compound0128
7,4  -dihydroxyflavone	Compound0129
(-)-16,17-Dihydroxy-16-beta-kauran-19-oic acid	Compound0130
(-)-16-beta,17-Epoxykauran-19-oic acid	Compound0131
(-)-17-Hydroxy-16beta-kauran-19-oic acid	Compound0132
(-)-17-Hydroxy-16B-kauran-19-oic acid	Compound0133
(-)-6-beta-Hydroxy-5-beta,8-beta,9-beta,10-alpha-cleroda-3,13-dien-16,15-olid-18-oic acid	Compound0134
(-)-angelicoidenol-2-O-  -D-glucopyranoside deglycosylation	Compound0135
(-)-Epihernandulcin	Compound0136
(-)-guaia-l(10),11-dien-15,2-olide	Compound0137
(-)-isolongifolol	Compound0138
(+)-3,13-Clerodadien-16,15-olid-18-oic acid	Compound0139
(+)-Hernandulcin	Compound0140
(+)-methyl 9-hydroxyselina-4,11-dien-14-oate	Compound0141
(3S,5R,6S,9R)-megastigman-3,9-diol	Compound0142
(3S,5R,6S,9R)-megastigmane-3,9-diol	Compound0143
(4aR,5S,8R,8aR)-8-hydroxy-5-isopropyl-3,8-dimethyl-1,4a,5,6,7,8a-hexahydronaphthalen-2-one	Compound0144
(4R,5S,8R,9R,10S,13S)-ent-17-Hydroxy-16-oxobeyeran-19-al	Compound0145
(5a,8a)-2-Oxo-1(10),3,7(11)-guaiatrien-12,8-olide	Compound0146
(6R,9S)-9,10-dihydroxy-4-megastigmen-3-one	Compound0147
(8R)-8-Hydroxypatchoulol	Compound0148
(8S)-8-Hydroxypatchoulol	Compound0149
(E)-4'-demethyl-6-methyleucomin	Compound0150
(E)-5,7-dihydroxy-3-(4'-hydroxybenzylidene) chroman-4-one	Compound0151
(E)-5,7-dihydroxy-6,8-dimethyl-3-(4'-hydroxybenzylidene)chroman-4-one	Compound0152
(S)-9-Hydroxymegastigm-5-en-4-one	Compound0153
1 beta,4 beta,7 alpha-trihydroxyeudcsmane	Compound0154
1 beta,4 beta,7 beta-trihydroxyeudcsmane	Compound0155
10,12-Dihydroxypicrotoxane	Compound0156
10-alpha-Hydroxycadin-4-en-15-al	Compound0157
11-oxo-13-noralismol	Compound0158
12-hydroxy-hydromethylabi etate	Compound0159
15-Nor-10-hydroxy-oplopan-4-oic acid	Compound0160
16,17-Dihydrorostronol F	Compound0161
16aH-17,19-ent-Kauranediol	Compound0162
16-alpha,17-Dihydroxy-ent-9(11)-kauren-19-al	Compound0163
16-alpha,17-Dihydroxy-ent-kauran-19-oic acid	Compound0164
16alpha,17-dihydroxyl-ent-kauran-19-oic acid	Compound0165
16-alpha-Hydro-19-al-ent-kauran-17-oic acid	Compound0166
16-alpha-Hydro-ent-kauran-17,19-dioic acid	Compound0167
16beta,17-dihydroxy-(-)-kauran-19-ate-beta-D-glucose ester deglycosylation	Compound0168
16-beta,17-Dihydroxy-ent-kauran-19-al	Compound0169
16-beta,17-Dihydroxy-ent-kauran-19-oic acid	Compound0170
17-hydroxy-16alpha-ent-kauran-19-oic acid	Compound0171
17-hydroxy-16alpha-ent-kauran-19-oic,acid	Compound0172
17-Hydroxy-16-beta-ent-kauran-19-al	Compound0173
17-Hydroxy-16-beta-ent-kauran-19-oic acid	Compound0174
17-nor-ent-kaur-16-one	Compound0175
17  -Methyltestosterone	Compound0176
17  -Hydroxy-5  -androstane-3,11-dione	Compound0177
18-Hydroxy-kauran-16-en-19-oic acid	Compound0178
1-alpha-Hydroxyisodauc-4-en-15-al	Compound0179
21-O-Methyl-5,14-pregndiene-3-beta,14-beta,17-beta,21-tetrol	Compound0180
21-O-Methyl-5,14-pregndiene-3beta,14beta,17beta,21-tetrol-20-one	Compound0181
21-O-Methyl-5,14-pregndiene-3  ,14  ,17  ,21-tetrol-20-one	Compound0182
2-hydroxycyclopentadecanone	Compound0183
2'-methoxybonducellin	Compound0184
3-(4-Hydroxybenzylidene)-5,7-dihydroxy-6-methoxychroman-4-one	Compound0185
3-(4-Hydroxybenzylidene)-5-hydroxy-7-methoxychroman-4-one	Compound0186
3(S)-3-Butyl-3,5-dihydrophthalide	Compound0187
3,4-Dihydroxydihydgaroaroiuran	Compound0188
3-alpha,15-Dihydroxy cedrane	Compound0189
3alpha,17alpha-Dihydroxy-5beta-androstane	Compound0190
3-Hydroxymegastigm-5-en-9-one	Compound0191
3-Oxoisocostic acid	Compound0192
3  ,19-Dihydroxy-8(9),15-isopimaradien-7-one	Compound0193
4-alpha-Hydroxy-19-nor-ent-kauran-17-oic acid	Compound0194
4'-hydroxy-2-methoxychalcone	Compound0195
4  -Hydroxy-19-nor-ent-kauran-17-oic acid	Compound0196
5-beta-Hydroxyilicic acid	Compound0197
7  ,15  - dihydroxypregn-4-ene-3,16-dione	Compound0198
8-methylandrograpanin	Compound0199
8-Oxo-6,7,9,10-tetrahydrohumulen-1,12-olide	Compound0200
9-Nor-ent-kaurane-4  ,16  ,17-triol	Compound0201
9  -hydroxyanhydrooplopanone	Compound0202
9  -hydroxyoplopanone	Compound0203
9  -hydroxyanhydrooplopanone	Compound0204
9  -hydroxyoplopanone	Compound0205
abitol	Compound0206
Agallochin D	Compound0207
Annosquamosin C	Compound0208
anomallenodiol	Compound0209
beta-elemol	Compound0210
bullatantriol	Compound0211
Cadinane-4-beta,5-alpha,10-beta-triol	Compound0212
Clovan-2  ,9  -diol	Compound0213
clovandiol	Compound0214
commiferin	Compound0215
Crocusatin G	Compound0216
Cryptomeridiol-11-a-L-rhamnoside	Compound0217
crytomeridiol	Compound0218
cubeben camphor	Compound0219
cubebol	Compound0220
Curcarabranol A	Compound0221
Curcarabranol B	Compound0222
Curcumenolactone A	Compound0223
Curcumenolactone B	Compound0224
curdionolide B	Compound0225
cylindrictone E	Compound0226
D-(+)-camphoric acid	Compound0227
Dendronobilin I	Compound0228
Dimethyl camphorate	Compound0229
ent-15  ,16-Epoxy-kauran-17-ol	Compound0230
ent-16-alpha,17-Dihydroxyatisan-3-one	Compound0231
ent-16alpha,17-dihydroxykauran-19-oic acid	Compound0232
ent-16alphaH-kauran-17,19-dioic acid	Compound0233
Ent-16  ,17-dihydroxykauran-19-oic acid	Compound0234
ent-16  ,17-dihydroxykaur-an-3-one	Compound0235
Ent-16  -17-dihydroxy-Kaur-19-oic acid	Compound0236
Ent-16  ,17-dihydroxykauran-19-oic acid	Compound0237
Estan	Compound0238
Eudesmol	Compound0239
eupatorin deglycosylation	Compound0240
Excoecarin V2	Compound0241
Excoecarin V3	Compound0242
Floridiolide A	Compound0243
Fukujusonorone	Compound0244
Fumotoshidin A	Compound0245
Fumotoshidin B	Compound0246
Galanal A	Compound0247
Galanal B	Compound0248
Glutinosin A	Compound0249
Glypallichalcone	Compound0250
guggulsterol-VI	Compound0251
Inflexarabdonin J	Compound0252
Iridodiol	Compound0253
Isotadeonal	Compound0254
kanshone F	Compound0255
Ketosantalic acid	Compound0256
Leoheteronin A	Compound0257
Leoheteronin B	Compound0258
L-Kaur-16-en-19-oic acid	Compound0259
Neoaristolacton	Compound0260
Nigakilactone K	Compound0261
Nortricycloekasantalic acid	Compound0262
Oplopanone	Compound0263
oriediterpenol	Compound0264
Palustric acid	Compound0265
Patchoulan-1,12-diol	Compound0266
Phytocassane B	Compound0267
pregnelotone	Compound0268
sarmentol A	Compound0269
sarmentol B	Compound0270
sarmentol C	Compound0271
sarmentol D	Compound0272
S-I	Compound0273
Siegesbeckic acid	Compound0274
Siegesbeckiol	Compound0275
Siegesesteric acid II	Compound0276
1,2,3-trimethoxybenzene	Compound0277
1,2-dihydrodanshinone I	Compound0278
2,3-dimethoxy-naphthalene	Compound0279
2,4,7-Trimethoxyphenanthrene	Compound0280
2,4-Dimethoxyphenanthrene-3,7-diol	Compound0281
2-Hydroxy-3,7-dimethoxyphenanthrene	Compound0282
2-hydroxy-4,7-dimethoxyphenanthrene	Compound0283
3,3-dimethylquercetin	Compound0284
3,4-DIMETHOXYPHENOL	Compound0285
3,5,3'-trimethoxyquercetin	Compound0286
3,5,4'-trihydroxy-7-methoxy flavonoids	Compound0287
3,5-dihydroxy-6,7,4'-trimethoxyflavone	Compound0288
3,5-dihydroxy-7-dihydroxy,4'-dimethoxy flavonoids	Compound0289
3,6-Dihydroxy-2,4-dimethoxyphenanthrene	Compound0290
3,7-dihydroxy-4'-methoxyflavone	Compound0291
3alpha-Hydroxytanshinone IIA	Compound0292
3--beta-Hydroxymethylenetanshiquinone	Compound0293
3-beta-Hydroxymethyllenetanshiquinone	Compound0294
3beta-Hydroxytanshinone IIA	Compound0295
3-beta-Hydroxytanshinone IIA	Compound0296
3-hydroxy-5,7,3',4',5'-pentamethoxyflavone	Compound0297
3-Hydroxy-5,7,4  -trimethoxyflavone	Compound0298
3-hydroxytanshinone IIA	Compound0299
3-hydroxytanshinone IIB	Compound0300
3  -Hydroxytanshinone   A	Compound0301
4,9-Dimethoxyphenanthrene-2,5-diol	Compound0302
4-Hydroxy-2,7-dimethoxyphenanthrene	Compound0303
5-Hydroxy-3',4',6,7-tetramethoxy flavonol	Compound0304
5-Methyl kaempferol	Compound0305
6-hydroxy-2,4,7-trimetho-xyphenanthrene	Compound0306
7,3',4'-trimthylquercetin	Compound0307
7-hydroxy-2,4,6-trimethoxyphenanthrene	Compound0308
7-hydroxy-3,5,6,3',4'-pentamethoxyflavone	Compound0309
7-Methoxy-4'-hydroxyflavonol	Compound0310
Aixiangsu	Compound0311
Chrysotoxene	Compound0312
Eupalitin	Compound0313
hydroxytanshinone IIA	Compound0314
Methylene tanshinquinone	Compound0315
morelosin	Compound0316
przewaquinone c	Compound0317
Przewaquinone F	Compound0318
quercetagetin-3,5,6,3'-tetramethylether	Compound0319
tanshinaldehyde	Compound0320
Tanshinol A	Compound0321
Tanshinol B	Compound0322
tanshinone IIB	Compound0323
Tanshinone  B	Compound0324
ZINC03847089	Compound0325
(+)-Cyperadione	Compound0326
(1R,5S,6S,7S,10R)-1-beta,6-alpha-Dihydroxyeudesman-4-one	Compound0327
(1S,4aS,4bR,7R,10aS)-1,4a,7-trimethyl-7-vinyl-3,4,4b,5,6,9,10,10a-octahydro-2H-phenanthrene-1-carboxylic acid	Compound0328
14,15,16-Trisnor-8(17)-labdene-13,19-dioic acid	Compound0329
16beta,17-dihydroxykauran-18-oic acid	Compound0330
16-beta-Hydro-ent-kauran-17,19-dioic acid	Compound0331
16  -Hydro-19-al-ent-kauran-l7-oic acid	Compound0332
16-  -Hydroxy-(-)-Kaur-19-oic acid	Compound0333
16  -hydroxyl-17-nor-ent-kaur-19-oic acid	Compound0334
16  ,17-Dihydroxy-ent-kauran-19-al	Compound0335
17alpha,20R-Dihydroxypregnan-3,16-dione	Compound0336
17-alpha,20R-Dihydroxypregnan-3,16-dione	Compound0337
18-Acetyl siege acid	Compound0338
2,2,3,6-tetramethyl-alpha-propyl-cyclohexane	Compound0339
2,2-Dimethyl-3-(4-methyl-4-pentenyl)-cyclopropanecarboxylic acid	Compound0340
2-methyl-2-(3-oxo-butyl)-cyclohexanone	Compound0341
4-Epi-sandaracopimaric acid	Compound0342
7-alpha,14-beta-Dihydroxykaur-16-en-15-one	Compound0343
7-epi-amiteol	Compound0344
8  -hydroxyanhydrooplopanone	Compound0345
Acorone	Compound0346
Annuionone E	Compound0347
Artemisinol	Compound0348
baimuxinal	Compound0349
Cadinane-4  ,5  ,10  -triol	Compound0350
cadinanetriol	Compound0351
calamenone	Compound0352
Canusesnol H	Compound0353
chromolaevanedione	Compound0354
ent-11-alpha-Hydroxy-16-kauren-15-one	Compound0355
ent-16,18-Dihydroxy-8(14)-pimaren-15-one	Compound0356
ent-17,18-dihydroxy-16beta H-kauran-19-oicacid	Compound0357
ent-17-hydroxy-16alphaH-kauran-19-oic acid	Compound0358
Ent-17-hydroxy-16  H-kaureane-19-carboxylic acid	Compound0359
ent-19-methyl-17-hydroxy-16alphaH-kauran-19-oic acid	Compound0360
ent-3-alpha-Hydroxy-16-kauren-15-one	Compound0361
ent-3-beta,(13S)-Dihydroxyatis-16-en-14-one	Compound0362
ent-3  ,(13S)-Dihydroxyatis-16-en-14-one	Compound0363
ent-Atisane-3-beta,16-alpha,17-triol	Compound0364
ent-Kauran-16  ,17-diol	Compound0365
ent-Kauran-16  ,17,18-triol	Compound0366
ent-Kauran-16  -ol-3-one	Compound0367
ent-kaurane-3-oxo-16  -17-diol	Compound0368
ent-oplopanone	Compound0369
Ent-trachyloban-17-oic acid	Compound0370
Glycoside K deglycosylation	Compound0371
isodonsesquitin A	Compound0372
isodonsesquitin,a	Compound0373
isokhusenic acid	Compound0374
Methyl 16a,17-dihydroxy-ent-kauran-19-oate	Compound0375
Methyl 16-alpha,17-dihydroxy-ent-kauran-19-oate	Compound0376
norannuic acid	Compound0377
oxo-agarospirol	Compound0378
pimaricacid	Compound0379
Tuberonic acid	Compound0380
(-)-17-Hydroxy-kaur-15-en-19-oic acid	Compound0381
(16R)-ent-3-alpha-Hydroxykauran-15-one	Compound0382
dihydroartemisinic acid	Compound0383
dihydroartemisinic,acid	Compound0384
sarmentol G	Compound0385
sarmentol I	Compound0386
Valeriananoid A	Compound0387
(-)-12,16-Dihydroxy-cis-cleroda-3,13-dien-15-oic acid-15,16-olide	Compound0388
(-)-cadin-4,10(15)-dien-11-oic acid	Compound0389
(-)-dehydrojinkoh-eremol	Compound0390
(-)-guaia-l(10),11-diene-15-carboxylic acid	Compound0391
(-)-methyl,selina-3,11-dien-14-oate	Compound0392
(-)-pinocembrin	Compound0393
(+)-(4->2)-Abeo-kolavelool-3-oic acid	Compound0394
(+)-15-Hydroxy-cis-cleroda-3,13-dien-18-oic acid	Compound0395
(+)-8,11,13-Abietatrien-12-ol	Compound0396
(+)-8,11,13-Totaratriene-12,13-diol	Compound0397
(16R)-ent-11-alpha-Hydroxykauran-15-one	Compound0398
(16R)-ent-7-beta-Hydroxykauran-15-one	Compound0399
(1R,2R)-5'-Hydroxyjasmonic acid	Compound0400
(2R)-5,7-dihydroxy-2-(4-hydroxyphenyl)chroman-4-one	Compound0401
(2R)-flavanone	Compound0402
(2S)-5,2'-Dihydroxy-7,5'-dimethoxyflavanone	Compound0403
(2S)-5,7-dihydroxy-6,4'-dimethoxyflavone	Compound0404
(2s)-5-hydroxy-7,8-dimethoxyflavanone	Compound0405
11-Hydroxy-12-hydroisodaucenal	Compound0406
11  ,17  -dihydroxy-17-methylandrost-4-en-3-one	Compound0407
17-Hydroxy-11-desoxy-corticosterone	Compound0408
26-hydroxy-maskisterone B	Compound0409
3',5-Dihydroxy-7,4'-trimethoxyflavonoid	Compound0410
3,5-di-O-methyl-kaempferol	Compound0411
3,7,4'-trimethoxy kaempferol	Compound0412
3,9-Dihydroxy-megastigma-5-ene	Compound0413
4-(3-hydroxybutyl)-3,5,5-trimethylcyclohex-2-en-1-one	Compound0414
4,4'-Dihydroxydiphenyl methane	Compound0415
4',5,7-trihydroxy-6-methoxyflavanone	Compound0416
4',7-Dihydroxy-2',5-dimethoxyflavonol	Compound0417
5,3'-Dihydroxy-6,7,4'-trimethoxyflavanone	Compound0418
5,3'-Dihydroxy-6,7,4'-trimethoxyflava-none	Compound0419
5,4'-Dihydroxy-6,7-dimethoxyflavone	Compound0420
5,4'-Dihydroxy-7-methoxydihydroflavonoid	Compound0421
5,6,7,4'-tetramethoxy flavanone	Compound0422
5,6,7-trihydroxy-4'-methoxydihydroflavone	Compound0423
5,6-dihydroxy-3,7-dimethoxy-2-(4-methoxyphenyl)chromone	Compound0424
5,7,2''-trimethoxyflavone	Compound0425
6,4'-dihydroxy-7-methoxy-flavanone	Compound0426
6,7,4-trihydroxyflavanone	Compound0427
6-C-Methylnaringenin	Compound0428
